,targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
0,Catalina (C/2013 US10),2456518.702586805,A.D. 2013-Aug-14 04:51:43.5000,8.4,8.759215265921044,6.5,-1.143488110731407,-1.251552200805988,-0.008078207555236095,-0.00109976447383636,-0.0001410341260207798,0.05152778795866198,8.921759918618672,-0.00777029200518874
1,Catalina (C/2013 US10),2456519.702586805,A.D. 2013-Aug-15 04:51:43.5000,8.4,8.751135232061838,6.5,-1.144587640572398,-1.251692973834048,-0.008081861187957949,-0.001099294919616213,-0.000140511693159388,0.05148290173302492,8.913988109568612,-0.007773326871592538
2,Catalina (C/2013 US10),2456520.702586805,A.D. 2013-Aug-16 04:51:43.5000,8.4,8.74305154149205,6.5,-1.14568669999131,-1.25183322371738,-0.008085520979955007,-0.001098823627433093,-0.0001399878355139698,0.05143799796598841,8.906213263319387,-0.007776366406338466
3,Catalina (C/2013 US10),2456521.702586805,A.D. 2013-Aug-17 04:51:43.5000,8.4,8.734964188041504,6.5,-1.146785287243595,-1.251972949028036,-0.008089186953250685,-0.001098350584276264,-0.0001394625467497836,0.05139307663054035,8.898435375193996,-0.007779410626926242
4,Catalina (C/2013 US10),2456522.702586805,A.D. 2013-Aug-18 04:51:43.5000,8.4,8.726873165517429,6.5,-1.147883400572201,-1.252112148331717,-0.008092859130932472,-0.001097875778174963,-0.00013893582050039,0.05134813769956482,8.890654440497464,-0.007782459551743809
5,Catalina (C/2013 US10),2456523.702586805,A.D. 2013-Aug-19 04:51:43.5000,8.4,8.71877846770357,6.5,-1.148981038208683,-1.252250820187755,-0.008096537536836408,-0.001097399198330493,-0.0001384076504073261,0.05130318114583792,8.88287045451612,-0.007785513199732942
6,Catalina (C/2013 US10),2456524.702586805,A.D. 2013-Aug-20 04:51:43.5000,8.4,8.710680088359593,6.5,-1.150078198374404,-1.252388963149144,-0.008100222195232853,-0.001096920835150704,-0.0001378780301516902,0.05125820694202558,8.875083412517215,-0.007788571590069773
7,Catalina (C/2013 US10),2456525.702586805,A.D. 2013-Aug-21 04:51:43.5000,8.4,8.702578021220802,6.5,-1.151174879281717,-1.252526575762585,-0.008103913130540328,-0.001096440680203255,-0.0001373469534765136,0.05121321506068294,8.86729330974882,-0.007791634741884737
8,Catalina (C/2013 US10),2456526.702586805,A.D. 2013-Aug-22 04:51:43.5000,8.4,8.694472259998097,6.5,-1.152271079135083,-1.252663656568562,-0.008107610367088116,-0.001095958726105827,-0.0001368144141995077,0.05116820547425534,8.859500141439995,-0.007794702674040069
9,Catalina (C/2013 US10),2456527.702586805,A.D. 2013-Aug-23 04:51:43.5000,8.4,8.686362798378187,6.5,-1.153366796132044,-1.252800204101415,-0.008111313928932901,-0.001095474966378496,-0.0001362804062177621,0.0511231781550804,8.851703902801143,-0.007797775404966655
10,Catalina (C/2013 US10),2456528.702586805,A.D. 2013-Aug-24 04:51:43.5000,8.4,8.678249630023908,6.5,-1.154462028464043,-1.25293621688942,-0.008115023839734448,-0.001094989395277309,-0.0001357449235054881,0.05107813307539075,8.843904589024499,-0.007800852952562556
11,Catalina (C/2013 US10),2456529.702586805,A.D. 2013-Aug-25 04:51:43.5000,8.4,8.670132748574664,6.5,-1.155556774317077,-1.253071693454863,-0.008118740122680327,-0.001094502007625983,-0.0001352079601071109,0.05103307020731736,8.836102195284683,-0.007803935334140881
12,Catalina (C/2013 US10),2456530.702586805,A.D. 2013-Aug-26 04:51:43.5000,8.4,8.662012147646932,6.5,-1.156651031872187,-1.253206632314106,-0.008122462800455622,-0.001094012798659511,-0.0001346695101272058,0.05098798952289291,8.82829671673931,-0.007807022566420987
13,Catalina (C/2013 US10),2456531.702586805,A.D. 2013-Aug-27 04:51:43.5000,8.4,8.653887820834743,6.5,-1.157744799305791,-1.253341031977641,-0.008126191895244071,-0.001093521763883467,-0.0001341295677188336,0.05094289099405519,8.820488148529554,-0.00781011466554896
14,Catalina (C/2013 US10),2456532.702586805,A.D. 2013-Aug-28 04:51:43.5000,8.4,8.645759761710199,6.5,-1.158838074789903,-1.253474890950131,-0.008129927428753755,-0.001093028898957352,-0.0001335881270715882,0.0508977745926503,8.81267648578072,-0.007813211647139297
15,Catalina (C/2013 US10),2456533.702586805,A.D. 2013-Aug-29 04:51:43.5000,8.4,8.6376279638239,6.5,-1.159930856492229,-1.253608207730442,-0.008133669422257583,-0.00109253419959763,-0.0001330451823998929,0.05085264029043554,8.804861723602738,-0.007816313526328672
16,Catalina (C/2013 US10),2456534.702586805,A.D. 2013-Aug-30 04:51:43.5000,8.4,8.629492420705388,6.5,-1.161023142576188,-1.253740980811665,-0.0081374178966427,-0.001092037661503155,-0.0001325007279323103,0.0508074880590821,8.797043857090621,-0.007819420317835514
17,Catalina (C/2013 US10),2456535.702586805,A.D. 2013-Aug-31 04:51:43.5000,8.4,8.621353125863472,6.5,-1.162114931200866,-1.25387320868112,-0.008141172872462571,-0.001091539280298752,-0.0001319547579020878,0.05076231787017708,8.78922288132484,-0.007822532036019734
18,Catalina (C/2013 US10),2456536.702586805,A.D. 2013-Sep-01 04:51:43.5000,8.4,8.613210072786558,6.5,-1.16320622052092,-1.254004889820359,-0.008144934369990062,-0.001091039051494234,-0.0001314072665388707,0.05071712969522573,8.781398791371666,-0.007825648694941307
19,Catalina (C/2013 US10),2456537.702586805,A.D. 2013-Sep-02 04:51:43.5000,8.4,8.605063254942907,6.5,-1.164297008686445,-1.25413602270516,-0.0081487024092663,-0.001090536970456852,-0.0001308582480619039,0.05067192350565269,8.77357158228344,-0.007828770308412784
20,Catalina (C/2013 US10),2456538.702586805,A.D. 2013-Sep-03 04:51:43.5000,8.4,8.596912665780822,6.5,-1.165387293842827,-1.254266605805513,-0.008152477010147272,-0.001090033032393421,-0.0001303076966742277,0.05062669927280344,8.765741249098783,-0.007831896890048188
21,Catalina (C/2013 US10),2456539.702586805,A.D. 2013-Sep-04 04:51:43.5000,8.4,8.588758298728838,6.5,-1.166477074130571,-1.254396637585599,-0.008156258192344642,-0.001089527232340855,-0.000129755606558091,0.05058145696794539,8.7579077868428,-0.007835028453304938
22,Catalina (C/2013 US10),2456540.702586805,A.D. 2013-Sep-05 04:51:43.5000,8.4,8.580600147195826,6.5,-1.167566347685135,-1.254526116503772,-0.008160045975461681,-0.001089019565161878,-0.0001292019718712382,0.05053619656226849,8.750071190527187,-0.007838165011520216
23,Catalina (C/2013 US10),2456541.702586805,A.D. 2013-Sep-06 04:51:43.5000,8.4,8.572438204571098,6.5,-1.168655112636751,-1.254655041012528,-0.008163840379025258,-0.001088510025545865,-0.0001286467867439715,0.050490918026886,8.742231455150357,-0.007841306577942622
24,Catalina (C/2013 US10),2456542.702586805,A.D. 2013-Sep-07 04:51:43.5000,8.4,8.564272464224466,6.5,-1.169743367110256,-1.25478340955848,-0.00816764142251222,-0.001087998608011536,-0.0001280900452768831,0.0504456213328348,8.734388575697503,-0.007844453165758006
25,Catalina (C/2013 US10),2456543.702586805,A.D. 2013-Sep-08 04:51:43.5000,8.4,8.55610291950628,6.5,-1.170831109224922,-1.254911220582326,-0.00817144912537268,-0.00108748530691252,-0.0001275317415391026,0.05040030645107575,8.726542547140658,-0.007847604788111782
26,Catalina (C/2013 US10),2456544.702586805,A.D. 2013-Sep-09 04:51:43.5000,8.4,8.547929563747447,6.5,-1.171918337094293,-1.255038472518814,-0.00817526350704929,-0.001086970116443953,-0.0001269718695669981,0.05035497335249393,8.718693364438723,-0.007850761458127081
27,Catalina (C/2013 US10),2456545.702586805,A.D. 2013-Sep-10 04:51:43.5000,8.4,8.539752390259427,6.5,-1.173005048826036,-1.255165163796716,-0.0081790845869934,-0.001086453030648922,-0.0001264104233631475,0.05030962200789858,8.710841022537478,-0.007853923188919823
28,Catalina (C/2013 US10),2456546.702586805,A.D. 2013-Sep-11 04:51:43.5000,8.4,8.531571392334213,6.5,-1.174091242521783,-1.255291292838786,-0.008182912384678746,-0.001085934043426172,-0.000125847396895641,0.05026425238802319,8.702985516369584,-0.00785708999361113
29,Catalina (C/2013 US10),2456547.702586805,A.D. 2013-Sep-12 04:51:43.5000,8.4,8.523386563244319,6.5,-1.175176916277001,-1.255416858061731,-0.008186746919612638,-0.001085413148537485,-0.0001252827840975864,0.05021886446352546,8.695126840854579,-0.007860261885337276
30,Catalina (C/2013 US10),2456548.702586805,A.D. 2013-Sep-13 04:51:43.5000,8.4,8.515197896242721,6.5,-1.176262068180848,-1.255541857876171,-0.008190588211345565,-0.001084890339614119,-0.0001247165788666776,0.05017345820498712,8.687264990898845,-0.007863438877258195
31,Catalina (C/2013 US10),2456549.702586805,A.D. 2013-Sep-14 04:51:43.5000,8.4,8.507005384562827,6.5,-1.177346696316055,-1.255666290686608,-0.00819443627947895,-0.001084365610163782,-0.0001241487750649782,0.05012803358291383,8.6793999613956,-0.007866620982564049
32,Catalina (C/2013 US10),2456550.702586805,A.D. 2013-Sep-15 04:51:43.5000,8.4,8.498809021418412,6.5,-1.178430798758798,-1.255790154891386,-0.008198291143671746,-0.0010838389535769,-0.0001235793665187537,0.05008259056773497,8.671531747224847,-0.007869808214480738
33,Catalina (C/2013 US10),2456551.702586805,A.D. 2013-Sep-16 04:51:43.5000,8.4,8.490608800003558,6.5,-1.17951437357859,-1.255913448882661,-0.008202152823645777,-0.001083310363132357,-0.0001230083470183719,0.05003712912980344,8.663660343253348,-0.007873000586274232
34,Catalina (C/2013 US10),2456552.702586805,A.D. 2013-Sep-17 04:51:43.5000,8.4,8.482404713492597,6.5,-1.180597418838169,-1.256036171046357,-0.00820602133919074,-0.001082779832002559,-0.0001224357103181795,0.04999164923939534,8.65578574433457,-0.007876198111254635
35,Catalina (C/2013 US10),2456553.702586805,A.D. 2013-Sep-18 04:51:43.5000,8.4,8.474196755040033,6.5,-1.181679932593392,-1.256158319762137,-0.008209896710167823,-0.001082247353258625,-0.0001218614501365138,0.04994615086670979,8.647907945308658,-0.00787940080277886
36,Catalina (C/2013 US10),2456554.702586805,A.D. 2013-Sep-19 04:51:43.5000,8.4,8.465984917780476,6.5,-1.182761912893141,-1.256279893403364,-0.008213778956513271,-0.001081712919874761,-0.0001212855601556533,0.04990063398186866,8.640026941002366,-0.007882608674253362
37,Catalina (C/2013 US10),2456555.702586805,A.D. 2013-Sep-20 04:51:43.5000,8.4,8.457769194828547,6.5,-1.183843357779223,-1.256400890337064,-0.008217668098241164,-0.001081176524732358,-0.0001207080340218163,0.04985509855491618,8.632142726229015,-0.0078858217391361
38,Catalina (C/2013 US10),2456556.702586805,A.D. 2013-Sep-21 04:51:43.5000,8.4,8.449549579278832,6.5,-1.184924265286284,-1.256521308923894,-0.00822156415544641,-0.001080638160623715,-0.0001201288653451065,0.0498095445558188,8.624255295788451,-0.007889040010938785
39,Catalina (C/2013 US10),2456557.702586805,A.D. 2013-Sep-22 04:51:43.5000,8.4,8.441326064205771,6.5,-1.186004633441718,-1.256641147518099,-0.008225467148306723,-0.001080097820255658,-0.0001195480476995452,0.04976397195446462,8.616364644466977,-0.007892263503228096
40,Catalina (C/2013 US10),2456558.702586805,A.D. 2013-Sep-23 04:51:43.5000,8.4,8.433098642663582,6.5,-1.187084460265585,-1.256760404467483,-0.00822937709708502,-0.001079555496252752,-0.0001189655746230303,0.04971838072066338,8.608470767037293,-0.007895492229627401
41,Catalina (C/2013 US10),2456559.702586805,A.D. 2013-Sep-24 04:51:43.5000,8.4,8.42486730768618,6.5,-1.188163743770528,-1.256879078113369,-0.008233294022131183,-0.001079011181160378,-0.0001183814396173367,0.04967277082414586,8.600573658258458,-0.007898726203817812
42,Catalina (C/2013 US10),2456560.702586805,A.D. 2013-Sep-25 04:51:43.5000,8.4,8.416632052287085,6.5,-1.1892424819617,-1.256997166790564,-0.008237217943884408,-0.001078464867447689,-0.0001177956361480604,0.04962714223456372,8.592673312875815,-0.007901965439539893
43,Catalina (C/2013 US10),2456561.702586805,A.D. 2013-Sep-26 04:51:43.5000,8.4,8.408392869459334,6.5,-1.190320672836683,-1.257114668827321,-0.008241148882874624,-0.00107791654751052,-0.0001172081576446336,0.04958149492148906,8.584769725620937,-0.007905209950594369
44,Catalina (C/2013 US10),2456562.702586805,A.D. 2013-Sep-27 04:51:43.5000,8.4,8.400149752175386,6.5,-1.191398314385422,-1.257231582545306,-0.008245086859724474,-0.001077366213674231,-0.0001166189975002876,0.04953582885441409,8.576862891211565,-0.007908459750843474
45,Catalina (C/2013 US10),2456563.702586805,A.D. 2013-Sep-28 04:51:43.5000,8.4,8.391902693387028,6.5,-1.192475404590152,-1.257347906259561,-0.008249031895150857,-0.001076813858196587,-0.0001160281490720548,0.04949014400275079,8.568952804351545,-0.007911714854211778
46,Catalina (C/2013 US10),2456564.702586805,A.D. 2013-Sep-29 04:51:43.5000,8.4,8.383651686025287,6.5,-1.193551941425333,-1.257463638278463,-0.008252984009967003,-0.001076259473270718,-0.000115435605680727,0.04944444033583053,8.56103945973077,-0.00791497527468758
47,Catalina (C/2013 US10),2456565.702586805,A.D. 2013-Sep-30 04:51:43.5000,8.4,8.375396723000327,6.5,-1.194627922857588,-1.257578776903696,-0.008256943225083904,-0.001075703051028246,-0.0001148413606108852,0.04939871782290373,8.553122852025115,-0.007918241026323583
48,Catalina (C/2013 US10),2456566.702586805,A.D. 2013-Oct-01 04:51:43.5000,8.4,8.367137797201348,6.5,-1.195703346845642,-1.257693320430209,-0.008260909561511947,-0.001075144583542607,-0.000114245407110926,0.04935297643313941,8.545202975896364,-0.00792151212323777
49,Catalina (C/2013 US10),2456567.702586805,A.D. 2013-Oct-02 04:51:43.5000,8.4,8.358874901496495,6.5,-1.196778211340266,-1.257807267146179,-0.008264883040362585,-0.001074584062832614,-0.0001136477383931009,0.04930721613562492,8.537279825992153,-0.007924788579614246
50,Catalina (C/2013 US10),2456568.702586805,A.D. 2013-Oct-03 04:51:43.5000,8.4,8.350608028732745,6.5,-1.197852514284222,-1.257920615332981,-0.008268863682849828,-0.001074021480866439,-0.0001130483476336066,0.04926143689936544,8.529353396945897,-0.007928070409703832
51,Catalina (C/2013 US10),2456569.702586805,A.D. 2013-Oct-04 04:51:43.5000,8.4,8.342337171735812,6.5,-1.198926253612221,-1.258033363265146,-0.008272851510291607,-0.001073456829565852,-0.0001124472279727046,0.04921563869328369,8.521423683376735,-0.00793135762782448
52,Catalina (C/2013 US10),2456570.702586805,A.D. 2013-Oct-05 04:51:43.5000,8.4,8.33406232331004,6.5,-1.19999942725087,-1.258145509210328,-0.008276846544110877,-0.001072890100811159,-0.0001118443725149229,0.04916982148621948,8.513490679889445,-0.007934650248361342
53,Catalina (C/2013 US10),2456571.702586805,A.D. 2013-Oct-06 04:51:43.5000,8.4,8.325783476238291,6.5,-1.20107203311864,-1.258257051429267,-0.008280848805836665,-0.001072321286446488,-0.0001112397743292862,0.04912398524692939,8.505554381074392,-0.00793794828576666
54,Catalina (C/2013 US10),2456572.702586805,A.D. 2013-Oct-07 04:51:43.5000,8.4,8.31750062328185,6.5,-1.202144069125831,-1.258367988175756,-0.00828485831710458,-0.001071750378285867,-0.0001106334264496626,0.04907812994408623,8.497614781507448,-0.007941251754559056
55,Catalina (C/2013 US10),2456573.702586805,A.D. 2013-Oct-08 04:51:43.5000,8.4,8.309213757180322,6.5,-1.203215533174544,-1.258478317696602,-0.008288875099656786,-0.001071177368119997,-0.000110025321875212,0.04903225554627893,8.48967187574995,-0.007944560669322098
56,Catalina (C/2013 US10),2456574.702586805,A.D. 2013-Oct-09 04:51:43.5000,8.4,8.300922870651494,6.5,-1.204286423158661,-1.258588038231597,-0.008292899175341551,-0.001070602247723842,-0.0001094154535709415,0.04898636202201186,8.4817256583486,-0.007947875044702363
57,Catalina (C/2013 US10),2456575.702586805,A.D. 2013-Oct-10 04:51:43.5000,8.4,8.292627956391275,6.5,-1.205356736963837,-1.258697148013478,-0.008296930566111886,-0.00107002500886516,-0.0001088038144684174,0.04894044933970469,8.473776123835437,-0.007951194895406397
58,Catalina (C/2013 US10),2456576.702586805,A.D. 2013-Oct-11 04:51:43.5000,8.4,8.284329007073557,6.5,-1.206426472467494,-1.258805645267901,-0.008300969294022527,-0.001069445643313675,-0.0001081903974666777,0.04889451746769199,8.465823266727758,-0.007954520236195927
59,Catalina (C/2013 US10),2456577.702586805,A.D. 2013-Oct-12 04:51:43.5000,8.4,8.276026015350133,6.5,-1.207495627538828,-1.258913528213401,-0.008305015381226827,-0.001068864142851992,-0.0001075751954333017,0.04884856637422294,8.457867081528079,-0.007957851081882692
60,Catalina (C/2013 US10),2456578.702586805,A.D. 2013-Oct-13 04:51:43.5000,8.4,8.267718973850592,6.5,-1.208564200038829,-1.259020795061369,-0.008309068849970607,-0.00106828049928676,-0.0001069582012057672,0.048802596027461,8.449907562724075,-0.007961187447320198
61,Catalina (C/2013 US10),2456579.702586805,A.D. 2013-Oct-14 04:51:43.5000,8.4,8.259407875182237,6.5,-1.209632187820314,-1.259127444016018,-0.008313129722584314,-0.001067694704461088,-0.0001063394075930687,0.0487566063954838,8.441944704788561,-0.007964529347393558
62,Catalina (C/2013 US10),2456580.702586805,A.D. 2013-Oct-15 04:51:43.5000,8.4,8.25109271193,6.5,-1.210699588727961,-1.259233473274355,-0.008317198021472627,-0.001067106750268412,-0.0001057188073776804,0.0487105974462829,8.433978502179443,-0.007967876797006591
63,Catalina (C/2013 US10),2456581.702586805,A.D. 2013-Oct-16 04:51:43.5000,8.4,8.24277347665638,6.5,-1.211766400598379,-1.259338881026159,-0.008321273769100574,-0.001066516628665215,-0.0001050963933177582,0.0486645691477638,8.426008949339733,-0.007971229811065557
64,Catalina (C/2013 US10),2456582.702586805,A.D. 2013-Oct-17 04:51:43.5000,8.4,8.234450161901382,6.5,-1.212832621260166,-1.259443665453955,-0.00832535698797563,-0.001065924331686774,-0.0001044721581499332,0.04861852146774592,8.418036040697531,-0.007974588404458447
65,Catalina (C/2013 US10),2456583.702586805,A.D. 2013-Oct-18 04:51:43.5000,8.4,8.226122760182502,6.5,-1.213898248534002,-1.259547824732996,-0.008329447700625018,-0.001065329851460632,-0.0001038460945923774,0.0485724543739628,8.410059770666088,-0.007977952592029837
66,Catalina (C/2013 US10),2456584.702586805,A.D. 2013-Oct-19 04:51:43.5000,8.4,8.217791263994702,6.5,-1.214963280232747,-1.259651357031244,-0.008333545929567693,-0.001064733180219078,-0.000103218195348262,0.0485263678340625,8.402080133643823,-0.007981322388550595
67,Catalina (C/2013 US10),2456585.702586805,A.D. 2013-Oct-20 04:51:43.5000,8.4,8.209455665810443,6.5,-1.21602771416155,-1.259754260509361,-0.008337651697279501,-0.001064134310309917,-0.0001025884531097073,0.04848026181560801,8.394097124014449,-0.007984697808681067
68,Catalina (C/2013 US10),2456586.702586805,A.D. 2013-Oct-21 04:51:43.5000,8.4,8.201115958079754,6.5,-1.217091548117966,-1.259856533320694,-0.008341765026150132,-0.001063533234203687,-0.0001019568605621913,0.04843413628607809,8.386110736147087,-0.00798807886692667
69,Catalina (C/2013 US10),2456587.702586805,A.D. 2013-Oct-22 04:51:43.5000,8.4,8.192772133230333,6.5,-1.218154779892088,-1.259958173611276,-0.008345885938437334,-0.001062929944493535,-0.0001013234103886048,0.0483879912128683,8.37812096439645,-0.007991465577591957
70,Catalina (C/2013 US10),2456588.702586805,A.D. 2013-Oct-23 04:51:43.5000,8.4,8.184424183667716,6.5,-1.219217407266654,-1.260059179519824,-0.008350014456204037,-0.001062324433888372,-0.0001006880952743283,0.04834182656329229,8.370127803103077,-0.007994857954718746
71,Catalina (C/2013 US10),2456589.702586805,A.D. 2013-Oct-24 04:51:43.5000,8.4,8.176072101775494,6.5,-1.220279428017167,-1.260159549177742,-0.00835415060125473,-0.001061716695192531,-0.0001000509079112654,0.04829564230458352,8.362131246593616,-0.007998256012025737
72,Catalina (C/2013 US10),2456590.702586805,A.D. 2013-Oct-25 04:51:43.5000,8.4,8.167715879915614,6.5,-1.221340839911964,-1.26025928070913,-0.008358294395065942,-0.001061106721271432,-9.941184100128544e-05,0.0482494384038973,8.354131289181181,-0.008001659762844539
73,Catalina (C/2013 US10),2456591.702586805,A.D. 2013-Oct-26 04:51:43.5000,8.4,8.159355510428746,6.5,-1.222401640712259,-1.2603583722308,-0.008362445858708132,-0.001060494504996007,-9.877088725870016e-05,0.04820321482831325,8.34612792516579,-0.00800506922005062
74,Catalina (C/2013 US10),2456592.702586805,A.D. 2013-Oct-27 04:51:43.5000,8.4,8.150990985634717,6.5,-1.223461828172106,-1.260456821852279,-0.008366605012771606,-0.001059880039164385,-9.812803941051934e-05,0.04815697154483804,8.338121148834826,-0.008008484396002056
