,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
0,Earth (399),2456518.702586805,A.D. 2013-Aug-14 04:51:43.5000,0.7915272653087967,-0.6321141063725375,1.836026897647712e-05,0.0104512202435418,0.01338362079996689,-1.059261740871279e-06,0.005850356773227787,1.012957874513779,-0.0001851505848925357
1,Earth (399),2456519.702586805,A.D. 2013-Aug-15 04:51:43.5000,0.8018647675471633,-0.6186418211423057,1.731411664861632e-05,0.01022332714061867,0.01356028109073746,-1.026794757177432e-06,0.005849276649609748,1.012770856906691,-0.0001888197754492284
2,Earth (399),2456520.702586805,A.D. 2013-Aug-16 04:51:43.5000,0.8119730283558546,-0.6049948769563859,1.631905503653754e-05,0.009992759802394405,0.01373294402697102,-9.572964702050299e-07,0.005848176473239665,1.012580367273216,-0.0001920927615942224
3,Earth (399),2456521.702586805,A.D. 2013-Aug-17 04:51:43.5000,0.8218494375019012,-0.5911772506481515,1.54109647230665e-05,0.009759642581069228,0.01390165509405615,-8.535848740564119e-07,0.005847058541955562,1.012386803471675,-0.0001949704253051564
4,Earth (399),2456522.702586805,A.D. 2013-Aug-18 04:51:43.5000,0.8314914961426849,-0.577192861216818,1.462130890903034e-05,0.009524071927388222,0.01406648326917605,-7.217095985239774e-07,0.005845925070445994,1.012190548963504,-0.0001974815116350153
5,Earth (399),2456523.702586805,A.D. 2013-Aug-19 04:51:43.5000,0.8408967833497911,-0.563045551100397,1.39739020186102e-05,0.009286105756835564,0.01422751035452317,-5.708441836407766e-07,0.005844778019091257,1.01199194317803,-0.0001996853403026263
6,Earth (399),2456524.702586805,A.D. 2013-Aug-20 04:51:43.5000,0.850062914337527,-0.5487390812923748,1.348213782133497e-05,0.009045758266105456,0.0143848143170125,-4.124542716867122e-07,0.005843618924163325,1.011791252112498,-0.0002016682432618378
7,Earth (399),2456525.702586805,A.D. 2013-Aug-21 04:51:43.5000,0.8589874979092629,-0.5342771446115483,1.314740690877807e-05,0.008803003961328267,0.01453845056641685,-2.587895275411466e-07,0.005842448769632782,1.011588646136136,-0.000203532842191811
8,Earth (399),2456526.702586805,A.D. 2013-Aug-22 04:51:43.5000,0.8676681028358836,-0.5196633961563212,1.29592037691919e-05,0.00855779113889596,0.01468843736314843,-1.211046079158982e-07,0.005841267936236161,1.011384191171428,-0.0002053827277449799
9,Earth (399),2456527.702586805,A.D. 2013-Aug-23 04:51:43.5000,0.8761022408186703,-0.5049014940503351,1.2896902570143e-05,0.008310060568510086,0.01483475036726505,-8.195776082161765e-09,0.005840076240139429,1.0111778553885,-0.0002073076836819002
10,Earth (399),2456528.702586805,A.D. 2013-Aug-24 04:51:43.5000,0.884287368036407,-0.4899951405360918,1.293264532084383e-05,0.008059762926175941,0.01497732711855537,7.431780669269437e-08,0.005838873043317606,1.010969528316751,-0.0002093742238871681
11,Earth (399),2456529.702586805,A.D. 2013-Aug-25 04:51:43.5000,0.8922209013143315,-0.474948114940828,1.303453827335064e-05,0.007806870071512208,0.01511607800832207,1.239151367651089e-07,0.005837657398059012,1.010759045864989,-0.0002116232379640411
12,Earth (399),2456530.702586805,A.D. 2013-Aug-26 04:51:43.5000,0.8999002418134628,-0.4597642945251277,1.316947299327987e-05,0.007551378904058124,0.01525089874712055,1.405607778442947e-07,0.005836428187378489,1.010546214633231,-0.0002140733363535
13,Earth (399),2456531.702586805,A.D. 2013-Aug-27 04:51:43.5000,0.9073227995206878,-0.444447663787872,1.330521913454619e-05,0.007293309552056777,0.01538168053788769,1.259168493786454e-07,0.005835184236641096,1.01033083123974,-0.0002167269682430612
14,Earth (399),2456532.702586805,A.D. 2013-Aug-28 04:51:43.5000,0.914486014280639,-0.4290023154745554,1.341175983414747e-05,0.007032700735956026,0.01550831641544822,8.264900115639795e-08,0.005833924388439657,1.010112695285677,-0.0002195766725961236
15,Earth (399),2456533.702586805,A.D. 2013-Aug-29 04:51:43.5000,0.9213873718208545,-0.4134324471154631,1.346203752726752e-05,0.006769604714711879,0.01563070398090899,1.395105573468124e-08,0.005832647544955655,1.009891616689657,-0.0002226099283399082
16,Earth (399),2456534.702586805,A.D. 2013-Aug-30 04:51:43.5000,0.9280244151528906,-0.3977423562099736,1.343234233406476e-05,0.006504083251178237,0.0157487455729921,-7.669859446929254e-08,0.005831352687757391,1.009667419115698,-0.0002258120971188713
17,Earth (399),2456535.702586805,A.D. 2013-Aug-31 04:51:43.5000,0.9343947527221874,-0.38193643603334,1.330255560847429e-05,0.006236205190070862,0.01586234703337203,-1.85592721154537e-07,0.005830038885948643,1.009439941384115,-0.0002291675606779699
18,Earth (399),2456536.702586805,A.D. 2013-Sep-01 04:51:43.5000,0.9404960649860563,-0.3660191729647502,1.305640592641939e-05,0.005966045719648747,0.01597141604221658,-3.08725399523705e-07,0.005828705302144225,1.009209038506159,-0.0002326594026247589
19,Earth (399),2456537.702586805,A.D. 2013-Sep-02 04:51:43.5000,0.9463261110168116,-0.3499951453710716,1.268183103292219e-05,0.005693687110173285,0.01607586078172599,-4.416604530953902e-07,0.005827351203494468,1.008974583592842,-0.0002362680491917368
