,targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
0,Catalina (C/2013 US10),2456883.952586805,A.D. 2014-Aug-14 10:51:43.5000,8.4,4.704595014079721,6.5,-0.8595101495058246,-1.250441045998258,-0.02051355759598281,-0.01407908244045758,0.0002233461572632153,0.0285497458124922,4.943235251646891,-0.01713172516078194
1,Catalina (C/2013 US10),2456893.952586805,A.D. 2014-Aug-24 10:51:43.5000,8.4,4.51076093517785,6.5,-1.008604475913918,-1.248108971509549,-0.01820210365032379,-0.01567423499551428,0.0002434451743533262,0.02765142011411922,4.787694978580274,-0.01391067745858506
2,Catalina (C/2013 US10),2456903.952586805,A.D. 2014-Sep-03 10:51:43.5000,8.4,4.341423093031654,6.5,-1.171526456058174,-1.24557280291574,-0.01563195238761578,-0.01683162299169083,0.00026348557180737,0.02694876925176202,4.666034753119198,-0.01038878201269352
3,Catalina (C/2013 US10),2456913.952586805,A.D. 2014-Sep-13 10:51:43.5000,8.4,4.198596365621382,6.5,-1.343693638122765,-1.242840026509556,-0.01291347948576767,-0.01752851209502003,0.0002836741268853127,0.02645311942677679,4.580215646237079,-0.006772191923647849
4,Catalina (C/2013 US10),2456923.952586805,A.D. 2014-Sep-23 10:51:43.5000,8.4,4.083544125862613,6.5,-1.520537410160505,-1.239887778778143,-0.01008347845079678,-0.01775540294295631,0.0003069257952801356,0.02616551290464249,4.530418120607419,-0.003213638993961557
5,Catalina (C/2013 US10),2456933.952586805,A.D. 2014-Oct-03 10:51:43.5000,8.4,3.996980262056046,6.5,-1.697037999648598,-1.236704951797025,-0.007238678267539064,-0.017457050346567,0.0003294077500963154,0.02607646739328455,4.515000368252058,6.313254091298045e-05
6,Catalina (C/2013 US10),2456943.952586805,A.D. 2014-Oct-13 10:51:43.5000,8.4,3.938434215804643,6.5,-1.868054597053501,-1.233293382196786,-0.004488521454269582,-0.01666906453109707,0.0003536924367127967,0.02616373845081517,4.530110883451291,0.002875154702742036
7,Catalina (C/2013 US10),2456953.952586805,A.D. 2014-Oct-23 10:51:43.5000,8.4,3.906765321045491,6.5,-2.02879878526843,-1.229622801869729,-0.001876541382243498,-0.01539630505708221,0.0003803944582678018,0.02639785428474746,4.57064678352072,0.005127733034783017
8,Catalina (C/2013 US10),2456963.952586805,A.D. 2014-Nov-02 10:51:43.5000,8.4,3.900042201294448,6.5,-2.174362149382144,-1.225689297598114,0.0004781178664914217,-0.01364292281619109,0.0004063695610134542,0.02674289149426846,4.630388124422178,0.006701652470449416
9,Catalina (C/2013 US10),2456973.952586805,A.D. 2014-Nov-12 10:51:43.5000,8.4,3.915203442364709,6.5,-2.300372261914837,-1.22148269154459,0.002497990601696556,-0.01149808771606099,0.0004356596218752658,0.02715878803313249,4.70239837787428,0.007591418228257215
