time (Julian Date),wavelength (nm),irradiance (W/m^2/nm)
2458850.0,0.50,2.017252E-7
2458850.0,1.50,6.88104E-6
2458850.0,2.50,9.852165E-6
2458850.0,3.50,9.532403E-6
2458850.0,4.50,1.249477E-5
2458850.0,5.50,1.951123E-5
2458850.0,6.50,3.856057E-5
2458850.0,7.50,3.167719E-5
2458850.0,8.50,3.102291E-5
2458850.0,9.50,2.684365E-5
2458850.0,10.50,2.023186E-5
2458850.0,11.50,1.414238E-5
2458850.0,12.50,7.083379E-6
2458850.0,13.50,7.625458E-6
2458850.0,14.50,1.614924E-5
2458850.0,15.50,1.332324E-5
2458850.0,16.50,2.197395E-5
2458850.0,17.50,1.505681E-4
2458850.0,18.50,1.149431E-4
2458850.0,19.50,8.016794E-5
2458850.0,20.50,4.973872E-5
2458850.0,21.50,3.468882E-5
2458850.0,22.50,5.408244E-5
2458850.0,23.50,3.247293E-5
2458850.0,24.50,3.841464E-5
2458850.0,25.50,6.441301E-5
2458850.0,26.50,1.55991E-5
2458850.0,27.50,2.350477E-5
2458850.0,28.50,1.64141E-5
2458850.0,29.50,1.46781E-5
2458850.0,30.50,4.400138E-4
2458850.0,31.50,3.062687E-5
2458850.0,32.50,9.272482E-6
2458850.0,33.50,1.488259E-5
2458850.0,34.50,3.202196E-5
2458850.0,35.50,2.277834E-5
2458850.0,36.50,4.730907E-5
2458850.0,37.50,2.404134E-6
2458850.0,38.50,3.149817E-6
2458850.0,39.50,1.937351E-6
2458850.0,115.50,1.656375E-5
2458850.0,116.50,2.146973E-5
2458850.0,117.50,7.273521E-5
2458850.0,118.50,2.877416E-5
2458850.0,119.50,4.778447E-5
2458850.0,120.50,1.324607E-4
2458850.0,121.50,0.005875466
2458850.0,122.50,6.001768E-5
2458850.0,123.50,3.804172E-5
2458850.0,124.50,2.791067E-5
2458850.0,125.50,2.53985E-5
2458850.0,126.50,3.285185E-5
2458850.0,127.50,1.832587E-5
2458850.0,128.50,1.444677E-5
2458850.0,129.50,1.683526E-5
2458850.0,130.50,1.497051E-4
2458850.0,131.50,2.433241E-5
2458850.0,132.50,1.893168E-5
2458850.0,133.50,NaN
2458850.0,134.50,1.738499E-5
2458850.0,135.50,3.975117E-5
2458850.0,136.50,2.467885E-5
2458850.0,137.50,2.704071E-5
2458850.0,138.50,2.64678E-5
2458850.0,139.50,6.591829E-5
2458850.0,140.50,5.787013E-5
2458850.0,141.50,3.671729E-5
2458850.0,142.50,4.054965E-5
2458850.0,143.50,4.602239E-5
2458850.0,144.50,4.47458E-5
2458850.0,145.50,4.808399E-5
2458850.0,146.50,5.955032E-5
2458850.0,147.50,7.473202E-5
2458850.0,148.50,7.634452E-5
2458850.0,149.50,6.906114E-5
2458850.0,150.50,7.811612E-5
2458850.0,151.50,8.570163E-5
2458850.0,152.50,1.054216E-4
2458850.0,153.50,1.164294E-4
2458850.0,154.50,1.946478E-4
2458850.0,155.50,1.757916E-4
2458850.0,156.50,1.775317E-4
2458850.0,157.50,1.550335E-4
2458850.0,158.50,1.536312E-4
2458850.0,159.50,1.536103E-4
2458850.0,160.50,1.708462E-4
2458850.0,161.50,2.020767E-4
2458850.0,162.50,2.338785E-4
2458850.0,163.50,2.462659E-4
2458850.0,164.50,2.857012E-4
2458850.0,165.50,4.604004E-4
2458850.0,166.50,3.158486E-4
2458850.0,167.50,3.677431E-4
2458850.0,168.50,4.122805E-4
2458850.0,169.50,5.38526E-4
2458850.0,170.50,6.165725E-4
2458850.0,171.50,6.137647E-4
2458850.0,172.50,6.736764E-4
2458850.0,173.50,6.791483E-4
2458850.0,174.50,8.325402E-4
2458850.0,175.50,0.001010092
2458850.0,176.50,0.001092218
2458850.0,177.50,0.001311461
2458850.0,178.50,0.001458167
2458850.0,179.50,0.001447038
2458850.0,180.50,0.00190189
2458850.0,181.50,0.00220544
2458850.0,182.50,0.002180572
2458850.0,183.50,0.002341595
2458850.0,184.50,0.002054714
2458850.0,185.50,0.002320661
2458850.0,186.50,0.002681426
2458850.0,187.50,0.003007129
2458850.0,188.50,0.003222324
2458850.0,189.50,0.003530702
2458850.0,190.50,0.003796476
2458850.0,191.50,0.004050794
2458850.0,192.50,0.004315097
2458850.0,193.50,0.003350841
2458850.0,194.50,0.00551021
2458850.0,195.50,0.005345052
2458850.0,196.50,0.006050808
2458850.0,197.50,0.006183584
2458850.0,198.50,0.006251043
2458850.0,199.50,0.006746911
2458850.0,200.50,0.007304753
2458850.0,201.50,0.008162422
2458850.0,202.50,0.008096672
2458850.0,203.50,0.009388752
2458850.0,204.50,0.01031933
2458850.0,205.50,0.01062543
2458850.0,206.50,0.0109334
2458850.0,207.50,0.01263466
2458850.0,208.50,0.01454751
2458850.0,209.50,0.02115983
2458850.0,210.50,0.027575
2458850.0,211.50,0.03359519
2458850.0,212.50,0.0319896
2458850.0,213.50,0.02894619
2458850.0,214.50,0.0412739
2458850.0,215.50,0.03360886
2458850.0,216.50,0.03243282
2458850.0,217.50,0.031464
2458850.0,218.50,0.0444231
2458850.0,219.50,0.04671571
2458850.0,220.50,0.04615109
2458850.0,221.50,0.03287262
2458850.0,222.50,0.04834654
2458850.0,223.50,0.06128521
2458850.0,224.50,0.05619229
2458850.0,225.50,0.04951416
2458850.0,226.50,0.0346674
2458850.0,227.50,0.03524924
2458850.0,228.50,0.05045731
2458850.0,229.50,0.04286513
2458850.0,230.50,0.05218727
2458850.0,231.50,0.04503292
2458850.0,232.50,0.0487801
2458850.0,233.50,0.04076683
2458850.0,234.50,0.03315535
2458850.0,235.50,0.05320822
2458850.0,236.50,0.04100865
2458850.0,237.50,0.04982539
2458850.0,238.50,0.0342597
2458850.0,239.50,0.04256439
2458850.0,240.50,0.03936479
2458850.0,241.50,0.04600943
2458850.0,242.50,0.06943528
2458850.0,243.50,0.06352648
2458850.0,244.50,0.0606645
2458850.0,245.50,0.04776667
2458850.0,246.50,0.04781888
2458850.0,247.50,0.05493902
2458850.0,248.50,0.04215582
2458850.0,249.50,0.05373697
2458850.0,250.50,0.05619595
2458850.0,251.50,0.04328937
2458850.0,252.50,0.03823868
2458850.0,253.50,0.04897957
2458850.0,254.50,0.05449809
2458850.0,255.50,0.07753374
2458850.0,256.50,0.09320208
2458850.0,257.50,0.1160266
2458850.0,258.50,0.123385
2458850.0,259.50,0.1030774
2458850.0,260.50,0.0830694
2458850.0,261.50,0.08073453
2458850.0,262.50,0.1026068
2458850.0,263.50,0.1515064
2458850.0,264.50,0.2380543
2458850.0,265.50,0.2482496
2458850.0,266.50,0.243309
2458850.0,267.50,0.243809
2458850.0,268.50,0.2440599
2458850.0,269.50,0.2170388
2458850.0,270.50,0.2749191
2458850.0,271.50,0.2303848
2458850.0,272.50,0.1810592
2458850.0,273.50,0.2083569
2458850.0,274.50,0.1215686
2458850.0,275.50,0.1747097
2458850.0,276.50,0.2444376
2458850.0,277.50,0.2422061
2458850.0,278.50,0.1590157
2458850.0,279.50,0.07417852
2458850.0,280.50,0.08595926
2458850.0,281.50,0.2063562
2458850.0,282.50,0.290404
2458850.0,283.50,0.3245316
2458850.0,284.50,0.2503244
2458850.0,285.50,0.1253179
2458850.0,286.50,0.3403787
2458850.0,287.50,0.3733021
2458850.0,288.50,0.3071908
2458850.0,289.50,0.4587239
2458850.0,290.50,0.6125261
2458850.0,291.50,0.5701507
2458850.0,292.50,0.5007304
2458850.0,293.50,0.5643756
2458850.0,294.50,0.5092085
2458850.0,295.50,0.5691369
2458850.0,296.50,0.5106232
2458850.0,297.50,0.5437586
2458850.0,298.50,0.4034342
2458850.0,299.50,0.5663162
2458850.0,300.50,0.3716884
2458850.0,301.50,0.5064735
2458850.0,302.50,0.4945794
2458850.0,303.50,0.6487917
2458850.0,304.50,0.6110311
2458850.0,305.50,0.6425705
2458850.0,306.50,0.5723403
2458850.0,307.50,0.6610335
2458850.0,308.50,0.6658729
2458850.0,309.50,0.5011222
2458850.0,310.25,NaN
2458850.0,310.48,NaN
2458850.0,310.71,NaN
2458850.0,310.95,NaN
2458850.0,311.18,NaN
2458850.0,311.42,NaN
2458850.0,311.65,NaN
2458850.0,311.89,NaN
2458850.0,312.12,NaN
2458850.0,312.36,NaN
2458850.0,312.60,NaN
2458850.0,312.84,NaN
2458850.0,313.08,NaN
2458850.0,313.32,NaN
2458850.0,313.56,NaN
2458850.0,313.80,NaN
2458850.0,314.04,NaN
2458850.0,314.28,NaN
2458850.0,314.53,NaN
2458850.0,314.77,NaN
2458850.0,315.02,NaN
2458850.0,315.26,NaN
2458850.0,315.51,NaN
2458850.0,315.75,NaN
2458850.0,316.00,NaN
2458850.0,316.25,NaN
2458850.0,316.50,NaN
2458850.0,316.75,NaN
2458850.0,317.00,NaN
2458850.0,317.25,NaN
2458850.0,317.50,NaN
2458850.0,317.75,NaN
2458850.0,318.01,NaN
2458850.0,318.26,NaN
2458850.0,318.51,NaN
2458850.0,318.77,NaN
2458850.0,319.02,NaN
2458850.0,319.28,NaN
2458850.0,319.54,NaN
2458850.0,319.80,NaN
2458850.0,320.06,NaN
2458850.0,320.32,NaN
2458850.0,320.58,NaN
2458850.0,320.84,NaN
2458850.0,321.10,NaN
2458850.0,321.36,NaN
2458850.0,321.62,NaN
2458850.0,321.89,NaN
2458850.0,322.15,NaN
2458850.0,322.42,NaN
2458850.0,322.69,NaN
2458850.0,322.95,NaN
2458850.0,323.22,NaN
2458850.0,323.49,NaN
2458850.0,323.76,NaN
2458850.0,324.03,NaN
2458850.0,324.30,NaN
2458850.0,324.57,NaN
2458850.0,324.85,NaN
2458850.0,325.12,NaN
2458850.0,325.39,NaN
2458850.0,325.67,NaN
2458850.0,325.94,NaN
2458850.0,326.22,NaN
2458850.0,326.50,NaN
2458850.0,326.78,NaN
2458850.0,327.06,NaN
2458850.0,327.34,NaN
2458850.0,327.62,NaN
2458850.0,327.90,NaN
2458850.0,328.18,NaN
2458850.0,328.47,NaN
2458850.0,328.75,NaN
2458850.0,329.04,NaN
2458850.0,329.32,NaN
2458850.0,329.61,NaN
2458850.0,329.90,NaN
2458850.0,330.19,NaN
2458850.0,330.48,NaN
2458850.0,330.77,NaN
2458850.0,331.06,NaN
2458850.0,331.35,NaN
2458850.0,331.64,NaN
2458850.0,331.94,NaN
2458850.0,332.23,NaN
2458850.0,332.53,NaN
2458850.0,332.83,NaN
2458850.0,333.12,NaN
2458850.0,333.42,NaN
2458850.0,333.72,NaN
2458850.0,334.02,NaN
2458850.0,334.32,NaN
2458850.0,334.63,NaN
2458850.0,334.93,NaN
2458850.0,335.23,NaN
2458850.0,335.54,NaN
2458850.0,335.85,NaN
2458850.0,336.15,NaN
2458850.0,336.46,NaN
2458850.0,336.77,NaN
2458850.0,337.08,NaN
2458850.0,337.39,NaN
2458850.0,337.71,NaN
2458850.0,338.02,NaN
2458850.0,338.33,NaN
2458850.0,338.65,NaN
2458850.0,338.96,NaN
2458850.0,339.28,NaN
2458850.0,339.60,NaN
2458850.0,339.92,NaN
2458850.0,340.24,NaN
2458850.0,340.56,NaN
2458850.0,340.88,NaN
2458850.0,341.21,NaN
2458850.0,341.53,NaN
2458850.0,341.86,NaN
2458850.0,342.18,NaN
2458850.0,342.51,NaN
2458850.0,342.84,NaN
2458850.0,343.17,NaN
2458850.0,343.50,NaN
2458850.0,343.83,NaN
2458850.0,344.17,NaN
2458850.0,344.50,NaN
2458850.0,344.84,NaN
2458850.0,345.17,NaN
2458850.0,345.51,NaN
2458850.0,345.85,NaN
2458850.0,346.19,NaN
2458850.0,346.53,NaN
2458850.0,346.88,NaN
2458850.0,347.22,NaN
2458850.0,347.56,NaN
2458850.0,347.91,NaN
2458850.0,348.26,NaN
2458850.0,348.60,NaN
2458850.0,348.95,NaN
2458850.0,349.30,NaN
2458850.0,349.66,NaN
2458850.0,350.01,NaN
2458850.0,350.36,NaN
2458850.0,350.72,NaN
2458850.0,351.08,NaN
2458850.0,351.43,NaN
2458850.0,351.79,NaN
2458850.0,352.15,NaN
2458850.0,352.52,NaN
2458850.0,352.88,NaN
2458850.0,353.24,NaN
2458850.0,353.61,NaN
2458850.0,353.98,NaN
2458850.0,354.34,NaN
2458850.0,354.71,NaN
2458850.0,355.08,NaN
2458850.0,355.46,NaN
2458850.0,355.83,NaN
2458850.0,356.20,NaN
2458850.0,356.58,NaN
2458850.0,356.96,NaN
2458850.0,357.34,NaN
2458850.0,357.72,NaN
2458850.0,358.10,NaN
2458850.0,358.48,NaN
2458850.0,358.86,NaN
2458850.0,359.25,NaN
2458850.0,359.64,NaN
2458850.0,360.03,NaN
2458850.0,360.42,NaN
2458850.0,360.81,NaN
2458850.0,361.20,NaN
2458850.0,361.59,NaN
2458850.0,361.99,NaN
2458850.0,362.39,NaN
2458850.0,362.79,NaN
2458850.0,363.19,NaN
2458850.0,363.59,NaN
