time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),quality (Bit Flag)
2457752,0.5,5.60E-07,0.031931002,0
2457752,1.5,1.62E-05,0.031931002,0
2457752,2.5,1.60E-05,0.031931002,0
2457752,3.5,1.44E-05,0.031931002,0
2457752,4.5,1.79E-05,0.031931002,0
2457752,5.5,2.62E-05,0.031931002,0
2457752,6.5,4.42E-05,0.031931002,0
2457752,7.5,3.59E-05,0.031931002,0
2457752,8.5,3.44E-05,0.031931002,0
2457752,9.5,2.92E-05,0.031931002,0
2457752,10.5,2.18E-05,0.031931002,0
2457752,11.5,1.50E-05,0.031931002,0
2457752,12.5,7.67E-06,0.031931002,0
2457752,13.5,8.17E-06,0.031931002,0
2457752,14.5,1.73E-05,0.031931002,0
2457752,15.5,1.49E-05,0.031931002,0
2457752,16.5,2.36E-05,0.031931002,0
2457752,17.5,1.55E-04,0.031931002,0
2457752,18.5,1.22E-04,0.031931002,0
2457752,19.5,8.84E-05,0.031931002,0
2457752,20.5,5.74E-05,0.031931002,0
2457752,21.5,4.08E-05,0.031931002,0
2457752,22.5,5.85E-05,0.031931002,0
2457752,23.5,3.46E-05,0.031931002,0
2457752,24.5,4.16E-05,0.031931002,0
2457752,25.5,7.01E-05,0.031931002,0
2457752,26.5,1.83E-05,0.031931002,0
2457752,27.5,2.66E-05,0.031931002,0
2457752,28.5,2.46E-05,0.031931002,0
2457752,29.5,1.56E-05,0.031931002,0
2457752,30.5,4.53E-04,0.031931002,0
2457752,31.5,3.14E-05,0.031931002,0
2457752,32.5,9.88E-06,0.031931002,0
2457752,33.5,2.08E-05,0.031931002,0
2457752,34.5,3.40E-05,0.031931002,0
2457752,35.5,2.45E-05,0.031931002,0
2457752,36.5,5.12E-05,0.031931002,0
2457752,37.5,2.50E-06,0.031931002,0
2457752,38.5,3.32E-06,0.031931002,0
2457752,39.5,2.06E-06,0.031931002,0
2457752,115.5,1.82E-05,6.14E-07,0
2457752,116.5,2.36E-05,7.75E-07,0
2457752,117.5,7.89E-05,2.46E-06,0
2457752,118.5,3.15E-05,9.94E-07,0
2457752,119.5,5.11E-05,1.58E-06,0
2457752,120.5,1.47E-04,5.22E-06,0
2457752,121.5,0.006373374,2.08E-04,0
2457752,122.5,6.38E-05,2.35E-06,0
2457752,123.5,4.10E-05,1.25E-06,0
2457752,124.5,2.98E-05,9.07E-07,0
2457752,125.5,2.69E-05,8.05E-07,0
2457752,126.5,3.54E-05,1.07E-06,0
2457752,127.5,1.93E-05,5.89E-07,0
2457752,128.5,1.58E-05,4.81E-07,0
2457752,129.5,1.81E-05,5.53E-07,0
2457752,130.5,1.56E-04,4.70E-06,0
2457752,131.5,2.52E-05,7.54E-07,0
