r (AU),total_fragment_number
5.0000000000000000000000000e-1,4.7467041497484976093674789e31
5.0045004500450041007297841e-1,4.7535648382078625051704497e31
5.0090009000900093116825929e-1,4.7604290996082879048245165e31
5.0135013501350134124123770e-1,4.7672969324155307218335215e31
5.0180018001800175131421611e-1,4.7741683350973744895336236e31
5.0225022502250227240949698e-1,4.7810433061236005380556832e31
5.0270027002700268248247539e-1,4.7879218439659771856861568e31
5.0315031503150320357775627e-1,4.7948039470982813561453078e31
5.0360036003600361365073468e-1,4.8016896139962616490702626e31
5.0405040504050402372371309e-1,4.8085788431376617587330727e31
5.0450045004500454481899396e-1,4.8154716330021970553226524e31
5.0495049504950495489197237e-1,4.8223679820715653935838844e31
5.0540054005400536496495079e-1,4.8292678888294363041785144e31
5.0585058505850588606023166e-1,4.8361713517614338800065668e31
5.0630063006300629613321007e-1,4.8430783693551674006838108e31
5.0675067506750670620618848e-1,4.8499889401001844951056361e31
5.0720072007200722730146936e-1,4.8569030624879972623248911e31
5.0765076507650763737444777e-1,4.8638207350120570513939702e31
5.0810081008100804744742618e-1,4.8707419561677832844024287e31
5.0855085508550856854270705e-1,4.8776667244525085125615286e31
5.0900090009000897861568546e-1,4.8845950383655153457211837e31
5.0945094509450949971096634e-1,4.8915268964080292466105552e31
5.0990099009900990978394475e-1,4.8984622970831960128399151e31
5.1035103510351031985692316e-1,4.9054012388960799754607953e31
5.1080108010801084095220403e-1,4.9123437203536775097648696e31
5.1125112511251125102518245e-1,4.9192897399648999216053697e31
5.1170117011701166109816086e-1,4.9262392962405599365982033e31
5.1215121512151218219344173e-1,4.9331923876933915159603142e31
5.1260126012601259226642014e-1,4.9401490128380228349119181e31
5.1305130513051300233939855e-1,4.9471091701910006021144908e31
5.1350135013501352343467943e-1,4.9540728582707468251143451e31
5.1395139513951393350765784e-1,4.9610400755975831297806186e31
5.1440144014401445460293871e-1,4.9680108206937253559857209e31
5.1485148514851486467591712e-1,4.9749850920832547345677186e31
5.1530153015301527474889554e-1,4.9819628882921683276461616e31
5.1575157515751579584417641e-1,4.9889442078482952616690141e31
5.1620162016201620591715482e-1,4.9959290492813732886063201e31
5.1665166516651661599013323e-1,5.0029174111229866362753453e31
5.1710171017101713708541411e-1,5.0099092919065975335379689e31
5.1755175517551754715839252e-1,5.0169046901675164865431431e31
5.1800180018001795723137093e-1,5.0239036044429193924054769e31
5.1845184518451847832665180e-1,5.0309060332718259219270247e31
5.1890189018901888839963021e-1,5.0379119751951175339957960e31
5.1935193519351929847260863e-1,5.0449214287555014467887361e31
5.1980198019801981956788950e-1,5.0519343924975475672886710e31
5.2025202520252022964086791e-1,5.0589508649676380509684804e31
5.2070207020702075073614878e-1,5.0659708447140105363475206e31
5.2115211521152116080912720e-1,5.0729943302867311233938605e31
5.2160216021602157088210561e-1,5.0800213202376484368080821e31
5.2205220522052209197738648e-1,5.0870518131205098188936669e31
5.2250225022502250205036489e-1,5.0940858074908145122091435e31
5.2295229522952291212334330e-1,5.1011233019058920222016039e31
5.2340234023402343321862418e-1,5.1081642949249012164867777e31
5.2385238523852384329160259e-1,5.1152087851087753809335790e31
5.2430243024302425336458100e-1,5.1222567710202951779780689e31
5.2475247524752477445986187e-1,5.1293082512239895674316537e31
5.2520252025202518453284029e-1,5.1363632242862186727142289e31
5.2565256525652559460581870e-1,5.1434216887751188369387244e31
5.2610261026102611570109957e-1,5.1504836432606044243509566e31
5.2655265526552652577407798e-1,5.1575490863143957426473169e31
5.2700270027002704686935886e-1,5.1646180165099911206570828e31
5.2745274527452745694233727e-1,5.1716904324226344824251007e31
5.2790279027902786701531568e-1,5.1787663326293747947268670e31
5.2835283528352838811059655e-1,5.1858457157090219317921799e31
5.2880288028802879818357496e-1,5.1929285802421466753051396e31
5.2925292529252920825655337e-1,5.2000149248110879201635519e31
5.2970297029702972935183425e-1,5.2071047479999193478416856e31
5.3015301530153013942481266e-1,5.2141980483944998667060993e31
5.3060306030603054949779107e-1,5.2212948245824231716998147e31
5.3105310531053107059307195e-1,5.2283950751530438652201554e31
5.3150315031503148066605036e-1,5.2354987986974270168029202e31
5.3195319531953200176133123e-1,5.2426059938084148163968684e31
5.3240324032403241183430964e-1,5.2497166590805788362076695e31
5.3285328532853282190728805e-1,5.2568307931101849026208098e31
5.3330333033303334300256893e-1,5.2639483944952804660343634e31
5.3375337533753375307554734e-1,5.2710694618356153375055503e31
5.3420342034203416314852575e-1,5.2781939937326434901905879e31
5.3465346534653468424380662e-1,5.2853219887895734996605166e31
5.3510351035103509431678503e-1,5.2924534456113117985458958e31
5.3555355535553550438976345e-1,5.2995883628044662794165055e31
5.3600360036003602548504432e-1,5.3067267389773607063001537e31
5.3645364536453643555802273e-1,5.3138685727400293103631239e31
5.3690369036903695665330360e-1,5.3210138627041969740718142e31
5.3735373537353736672628202e-1,5.3281626074832945434314710e31
5.3780378037803777679926043e-1,5.3353148056924435157474553e31
5.3825382538253829789454130e-1,5.3424704559484587417850194e31
5.3870387038703870796751971e-1,5.3496295568698241063313195e31
5.3915391539153911804049812e-1,5.3567921070767465713909432e31
5.3960396039603963913577900e-1,5.3639581051910670049132885e31
5.4005400540054004920875741e-1,5.3711275498363340398264521e31
5.4050405040504045928173582e-1,5.3783004396377707473999873e31
5.4095409540954098037701669e-1,5.3854767732222323034084061e31
5.4140414041404139044999511e-1,5.3926565492183059680429074e31
5.4185418541854180052297352e-1,5.3998397662561669707233011e31
5.4230423042304232161825439e-1,5.4070264229677091144872013e31
5.4275427542754273169123280e-1,5.4142165179864583068771814e31
5.4320432043204325278651368e-1,5.4214100499475968793787618e31
5.4365436543654366285949209e-1,5.4286070174879536795012292e31
5.4410441044104407293247050e-1,5.4358074192460022693377864e31
5.4455445544554459402775137e-1,5.4430112538618816421238374e31
5.4500450045004500410072978e-1,5.4502185199773349732820558e31
5.4545454545454541417370820e-1,5.4574292162357726708171679e31
5.4590459045904593526898907e-1,5.4646433412822201335602748e31
5.4635463546354634534196748e-1,5.4718608937633393684470640e31
5.4680468046804675541494589e-1,5.4790818723274199833185551e31
5.4725472547254727651022677e-1,5.4863062756243746833214715e31
5.4770477047704768658320518e-1,5.4935341023057194550698810e31
5.4815481548154809665618359e-1,5.5007653510246321134403506e31
5.4860486048604861775146446e-1,5.5080000204358496195004435e31
5.4905490549054902782444287e-1,5.5152381091957491453020107e31
5.4950495049504954891972375e-1,5.5224796159623255558830552e31
5.4995499549954995899270216e-1,5.5297245393951490754312338e31
5.5040504050405036906568057e-1,5.5369728781554094225602059e31
5.5085508550855089016096144e-1,5.5442246309058824836723908e31
5.5130513051305130023393986e-1,5.5514797963109510295172535e31
5.5175517551755171030691827e-1,5.5587383730365894029525719e31
5.5220522052205223140219914e-1,5.5660003597503382987865231e31
5.5265526552655264147517755e-1,5.5732657551213461968942558e31
5.5310531053105305154815596e-1,5.5805345578203477449396783e31
5.5355535553555357264343684e-1,5.5878067665196268288585144e31
5.5400540054005398271641525e-1,5.5950823798930742189335339e31
5.5445544554455450381169612e-1,5.6023613966161281222794709e31
5.5490549054905491388467453e-1,5.6096438153658183181193722e31
5.5535553555355532395765294e-1,5.6169296348207166181886965e31
5.5580558055805584505293382e-1,5.6242188536609954135304697e31
5.5625562556255625512591223e-1,5.6315114705683466097019926e31
5.5670567056705666519889064e-1,5.6388074842260185562917854e31
5.5715571557155718629417152e-1,5.6461068933188682886752649e31
5.5760576057605759636714993e-1,5.6534096965332372286650291e31
5.5805580558055800644012834e-1,5.6607158925570520651425106e31
5.5850585058505852753540921e-1,5.6680254800797824202214790e31
5.5895589558955893760838762e-1,5.6753384577924282391690847e31
5.5940594059405945870366850e-1,5.6826548243875197904058581e31
5.5985598559855986877664691e-1,5.6899745785591500914230276e31
5.6030603060306027884962532e-1,5.6972977190029298727862451e31
5.6075607560756079994490619e-1,5.7046242444159965853348415e31
5.6120612061206121001788460e-1,5.7119541534970180030615278e31
5.6165616561656162009086302e-1,5.7192874449461805137533646e31
5.6210621062106214118614389e-1,5.7266241174652017290707183e31
5.6255625562556255125912230e-1,5.7339641697573187751882302e31
5.6300630063006296133210071e-1,5.7413076005272531647177230e31
5.6345634563456348242738159e-1,5.7486544084812801521424620e31
5.6390639063906389250036000e-1,5.7560045923271647827024467e31
5.6435643564356441359564087e-1,5.7633581507741672967139639e31
5.6480648064806482366861928e-1,5.7707150825330611439680965e31
5.6525652565256523374159769e-1,5.7780753863161374873303514e31
5.6570657065706564381457611e-1,5.7854390608371448545056527e31
5.6615661566156616490985698e-1,5.7928061048113512877131993e31
5.6660666066606657498283539e-1,5.8001765169555380386469863e31
5.6705670567056709607811626e-1,5.8075502959879239080020659e31
5.6750675067506750615109468e-1,5.8149274406282472109877647e31
5.6795679567956791622407309e-1,5.8223079495977180391716342e31
5.6840684068406843731935396e-1,5.8296918216190353741580346e31
5.6885688568856884739233237e-1,5.8370790554163654703099232e31
5.6930693069306925746531078e-1,5.8444696497153544648278116e31
5.6975697569756977856059166e-1,5.8518636032431121647911064e31
5.7020702070207018863357007e-1,5.8592609147282210543573647e31
5.7065706570657059870654848e-1,5.8666615829007471034013992e31
5.7110711071107111980182935e-1,5.8740656064921902279193776e31
5.7155715571557152987480777e-1,5.8814729842355149145062882e31
5.7200720072007205097008864e-1,5.8888837148651538232356423e31
5.7245724572457246104306705e-1,5.8962977971170014826199956e31
5.7290729072907287111604546e-1,5.9037152297283908708928858e31
5.7335733573357339221132634e-1,5.9111360114380907138490567e31
5.7380738073807380228430475e-1,5.9185601409863460172411036e31
5.7425742574257421235728316e-1,5.9259876171148222221440950e31
5.7470747074707473345256403e-1,5.9334184385666340279931869e31
5.7515751575157514352554244e-1,5.9408526040863282789050390e31
5.7560756075607555359852086e-1,5.9482901124199037795161757e31
5.7605760576057607469380173e-1,5.9557309623147698618664135e31
5.7650765076507648476678014e-1,5.9631751525197734069966255e31
5.7695769576957700586206101e-1,5.9706226817851997456686673e31
5.7740774077407741593503943e-1,5.9780735488627357288484317e31
5.7785778577857782600801784e-1,5.9855277525055003521833159e31
5.7830783078307834710329871e-1,5.9929852914680411531225185e31
5.7875787578757875717627712e-1,6.0004461645063089907591270e31
5.7920792079207916724925553e-1,6.0079103703776697551891487e31
5.7965796579657968834453641e-1,6.0153779078409169775904673e31
5.8010801080108009841751482e-1,6.0228487756562078791081344e31
5.8055805580558050849049323e-1,6.0303229725851651522059477e31
5.8100810081008102958577410e-1,6.0378004973907625692359163e31
5.8145814581458143965875252e-1,6.0452813488373952385924473e31
5.8190819081908196075403339e-1,6.0527655256908624910337620e31
5.8235823582358237082701180e-1,6.0602530267183633760822684e31
5.8280828082808278089999021e-1,6.0677438506884381152294054e31
5.8325832583258330199527109e-1,6.0752379963710987063248367e31
5.8370837083708371206824950e-1,6.0827354625376640918300888e31
5.8415841584158412214122791e-1,6.0902362479608943660874468e31
5.8460846084608464323650878e-1,6.0977403514149043062071089e31
5.8505850585058505330948719e-1,6.1052477716751876915051740e31
5.8550855085508546338246560e-1,6.1127585075186290128626731e31
5.8595859585958598447774648e-1,6.1202725577234683446484758e31
5.8640864086408639455072489e-1,6.1277899210693373735163090e31
5.8685868586858691564600576e-1,6.1353105963372116602487071e31
5.8730873087308732571898418e-1,6.1428345823094565764732111e31
5.8775877587758773579196259e-1,6.1503618777697813679461691e31
5.8820882088208814586494100e-1,6.1578924815032814883892340e31
5.8865886588658866696022187e-1,6.1654263922963845562938350e31
5.8910891089108907703320028e-1,6.1729636089368863837181962e31
5.8955895589558959812848116e-1,6.1805041302139275575692748e31
5.9000900090009000820145957e-1,6.1880479549180303691197050e31
5.9045904590459041827443798e-1,6.1955950818410096427351765e31
5.9090909090909093936971885e-1,6.2031455097760844251451932e31
5.9135913591359134944269726e-1,6.2106992375177726012117924e31
5.9180918091809175951567568e-1,6.2182562638619656536833596e31
5.9225922592259228061095655e-1,6.2258165876058557048806649e31
5.9270927092709269068393496e-1,6.2333802075480210850897828e31
5.9315931593159310075691337e-1,6.2409471224883344591296945e31
5.9360936093609362185219425e-1,6.2485173312280114652282626e31
5.9405940594059403192517266e-1,6.2560908325695881970240952e31
5.9450945094509455302045353e-1,6.2636676253169500266041602e31
5.9495949594959496309343194e-1,6.2712477082752829656278103e31
5.9540954095409537316641035e-1,6.2788310802510871761256649e31
5.9585958595859589426169123e-1,6.2864177400522129992966291e31
5.9630963096309630433466964e-1,6.2940076864878060115924397e31
5.9675967596759671440764805e-1,6.3016009183683232376763238e31
5.9720972097209723550292892e-1,6.3091974345055565691410610e31
5.9765976597659764557590734e-1,6.3167972337125751184337534e31
5.9810981098109805564888575e-1,6.3244003148037648505325461e31
5.9855985598559857674416662e-1,6.3320066765948249800669254e31
5.9900990099009898681714503e-1,6.3396163179027553612387624e31
5.9945994599459950791242591e-1,6.3472292375458420763035049e31
5.9990999099909991798540432e-1,6.3548454343436817550081658e31
6.0036003600360032805838273e-1,6.3624649071171635601928131e31
6.0081008100810084915366360e-1,6.3700876546884628827510921e31
6.0126012601260125922664201e-1,6.3777136758810503488294795e31
6.0171017101710166929962043e-1,6.3853429695196792097483275e31
6.0216021602160219039490130e-1,6.3929755344303997535206706e31
6.0261026102610260046787971e-1,6.4006113694405259782149837e31
6.0306030603060301054085812e-1,6.4082504733786716207522010e31
6.0351035103510353163613900e-1,6.4158928450747024187496652e31
6.0396039603960394170911741e-1,6.4235384833598045652354645e31
6.0441044104410446280439828e-1,6.4311873870663784236972260e31
6.0486048604860487287737669e-1,6.4388395550281628274318312e31
6.0531053105310528295035510e-1,6.4464949860800954679569678e31
6.0576057605760580404563598e-1,6.4541536790584371943608450e31
6.0621062106210621411861439e-1,6.4618156328006738348303165e31
6.0666066606660662419159280e-1,6.4694808461455882542449189e31
6.0711071107110714528687367e-1,6.4771493179332018073817158e31
6.0756075607560755535985209e-1,6.4848210470047878497141795e31
6.0801080108010796543283050e-1,6.4924960322028870496509246e31
6.0846084608460848652811137e-1,6.5001742723712866719774217e31
6.0891089108910889660108978e-1,6.5078557663550313864951033e31
6.0936093609360941769637066e-1,6.5155405130004178637018110e31
6.0981098109810982776934907e-1,6.5232285111549587459947763e31
6.1026102610261023784232748e-1,6.5309197596674556059845841e31
6.1071107110711064791530589e-1,6.5386142573879160802620293e31
6.1116111611161116901058676e-1,6.5463120031676007068342411e31
6.1161116111611157908356518e-1,6.5540129958590121164855776e31
6.1206120612061210017884605e-1,6.5617172343158842241385199e31
6.1251125112511251025182446e-1,6.5694247173931633137352373e31
6.1296129612961292032480287e-1,6.5771354439470611807131901e31
6.1341134113411344142008375e-1,6.5848494128349938830501978e31
6.1386138613861385149306216e-1,6.5925666229156195715013082e31
6.1431143114311426156604057e-1,6.6002870730488006593619283e31
6.1476147614761478266132144e-1,6.6080107620956254397460352e31
6.1521152115211519273429985e-1,6.6157376889184360079038662e31
6.1566156615661560280727826e-1,6.6234678523807237777105632e31
6.1611161116111612390255914e-1,6.6312012513472717954143981e31
6.1656165616561653397553755e-1,6.6389378846840187309280262e31
