
          ENERG_LO       ENERG_HI       WAVE_MIN       WAVE_MAX       SPECRESP
               keV            keV       angstrom       angstrom          cm**2
  1     0.00657741     0.00661249        1885.00        1875.00        3.38000
  2     0.00654270     0.00657741        1895.00        1885.00        3.87000
  3     0.00650836     0.00654270        1905.00        1895.00        4.58000
  4     0.00647437     0.00650836        1915.00        1905.00        5.27000
  5     0.00644074     0.00647437        1925.00        1915.00        6.25000
  6     0.00640745     0.00644074        1935.00        1925.00        7.32000
  7     0.00637451     0.00640745        1945.00        1935.00        8.68000
  8     0.00634190     0.00637451        1955.00        1945.00        10.3000
  9     0.00630963     0.00634190        1965.00        1955.00        12.1000
 10     0.00627768     0.00630963        1975.00        1965.00        14.2200
 11     0.00624606     0.00627768        1985.00        1975.00        16.5500
 12     0.00621475     0.00624606        1995.00        1985.00        19.0200
 13     0.00618375     0.00621475        2005.00        1995.00        21.7900
 14     0.00615306     0.00618375        2015.00        2005.00        24.7200
 15     0.00612268     0.00615306        2025.00        2015.00        27.5600
 16     0.00609259     0.00612268        2035.00        2025.00        30.3100
 17     0.00606280     0.00609259        2045.00        2035.00        32.8100
 18     0.00603329     0.00606280        2055.00        2045.00        34.8800
 19     0.00600408     0.00603329        2065.00        2055.00        36.7900
 20     0.00597514     0.00600408        2075.00        2065.00        38.3500
 21     0.00594648     0.00597514        2085.00        2075.00        39.7000
 22     0.00591810     0.00594648        2095.00        2085.00        40.5900
 23     0.00588999     0.00591810        2105.00        2095.00        41.1600
 24     0.00586214     0.00588999        2115.00        2105.00        41.6100
 25     0.00583455     0.00586214        2125.00        2115.00        41.9700
 26     0.00580722     0.00583455        2135.00        2125.00        42.0200
 27     0.00578015     0.00580722        2145.00        2135.00        42.1000
 28     0.00575333     0.00578015        2155.00        2145.00        42.1100
 29     0.00572675     0.00575333        2165.00        2155.00        42.1000
 30     0.00570042     0.00572675        2175.00        2165.00        41.9700
 31     0.00567433     0.00570042        2185.00        2175.00        41.7800
 32     0.00564848     0.00567433        2195.00        2185.00        41.7800
 33     0.00562287     0.00564848        2205.00        2195.00        41.6300
 34     0.00559748     0.00562287        2215.00        2205.00        41.3700
 35     0.00557232     0.00559748        2225.00        2215.00        41.2600
 36     0.00554739     0.00557232        2235.00        2225.00        41.0300
 37     0.00552268     0.00554739        2245.00        2235.00        40.7100
 38     0.00549819     0.00552268        2255.00        2245.00        40.3600
 39     0.00547392     0.00549819        2265.00        2255.00        40.0500
 40     0.00544985     0.00547392        2275.00        2265.00        39.6600
 41     0.00542600     0.00544985        2285.00        2275.00        39.1300
 42     0.00540236     0.00542600        2295.00        2285.00        38.6500
 43     0.00537892     0.00540236        2305.00        2295.00        38.1600
 44     0.00535569     0.00537892        2315.00        2305.00        37.5900
 45     0.00533265     0.00535569        2325.00        2315.00        36.8600
 46     0.00530982     0.00533265        2335.00        2325.00        36.2600
 47     0.00528717     0.00530982        2345.00        2335.00        35.5900
 48     0.00526472     0.00528717        2355.00        2345.00        34.8200
 49     0.00524246     0.00526472        2365.00        2355.00        34.1000
 50     0.00522039     0.00524246        2375.00        2365.00        33.3500
 51     0.00519850     0.00522039        2385.00        2375.00        32.5300
 52     0.00517679     0.00519850        2395.00        2385.00        31.6100
 53     0.00515527     0.00517679        2405.00        2395.00        30.8700
 54     0.00513392     0.00515527        2415.00        2405.00        30.0100
 55     0.00511275     0.00513392        2425.00        2415.00        28.9900
 56     0.00509175     0.00511275        2435.00        2425.00        28.0200
 57     0.00507093     0.00509175        2445.00        2435.00        27.1300
 58     0.00505027     0.00507093        2455.00        2445.00        26.1000
 59     0.00502978     0.00505027        2465.00        2455.00        24.9700
 60     0.00500946     0.00502978        2475.00        2465.00        23.8800
 61     0.00498930     0.00500946        2485.00        2475.00        22.7800
 62     0.00496931     0.00498930        2495.00        2485.00        21.6200
 63     0.00494947     0.00496931        2505.00        2495.00        20.4800
 64     0.00492979     0.00494947        2515.00        2505.00        19.3300
 65     0.00491027     0.00492979        2525.00        2515.00        18.0600
 66     0.00489089     0.00491027        2535.00        2525.00        16.8200
 67     0.00487168     0.00489089        2545.00        2535.00        15.6200
 68     0.00485261     0.00487168        2555.00        2545.00        14.4400
 69     0.00483369     0.00485261        2565.00        2555.00        13.2700
 70     0.00481492     0.00483369        2575.00        2565.00        12.1300
 71     0.00479629     0.00481492        2585.00        2575.00        11.0900
 72     0.00477781     0.00479629        2595.00        2585.00        10.0800
 73     0.00475947     0.00477781        2605.00        2595.00        9.16000
 74     0.00474127     0.00475947        2615.00        2605.00        8.29000
 75     0.00472321     0.00474127        2625.00        2615.00        7.49000
 76     0.00470528     0.00472321        2635.00        2625.00        6.74000
 77     0.00468749     0.00470528        2645.00        2635.00        6.06000
 78     0.00466984     0.00468749        2655.00        2645.00        5.45000
 79     0.00465231     0.00466984        2665.00        2655.00        4.91000
 80     0.00463492     0.00465231        2675.00        2665.00        4.41000
 81     0.00461766     0.00463492        2685.00        2675.00        3.99000
 82     0.00460053     0.00461766        2695.00        2685.00        3.60000
 83     0.00458352     0.00460053        2705.00        2695.00        3.24000
 84     0.00456664     0.00458352        2715.00        2705.00        2.90000
 85     0.00454988     0.00456664        2725.00        2715.00        2.61000
 86     0.00453324     0.00454988        2735.00        2725.00        2.37000
 87     0.00451673     0.00453324        2745.00        2735.00        2.13000
 88     0.00450033     0.00451673        2755.00        2745.00        1.92000
 89     0.00448406     0.00450033        2765.00        2755.00        1.74000
 90     0.00446790     0.00448406        2775.00        2765.00        1.57000
 91     0.00445186     0.00446790        2785.00        2775.00        1.42000
 92     0.00443593     0.00445186        2795.00        2785.00        1.29000
 93     0.00442011     0.00443593        2805.00        2795.00        1.18000
 94     0.00440441     0.00442011        2815.00        2805.00        1.07000
 95     0.00438882     0.00440441        2825.00        2815.00       0.980000
 96     0.00437334     0.00438882        2835.00        2825.00       0.890000
 97     0.00435797     0.00437334        2845.00        2835.00       0.810000
 98     0.00434270     0.00435797        2855.00        2845.00       0.740000
 99     0.00432755     0.00434270        2865.00        2855.00       0.680000
100     0.00431249     0.00432755        2875.00        2865.00       0.630000
101     0.00429755     0.00431249        2885.00        2875.00       0.570000
102     0.00428270     0.00429755        2895.00        2885.00       0.530000
103     0.00426796     0.00428270        2905.00        2895.00       0.490000
104     0.00425332     0.00426796        2915.00        2905.00       0.450000
105     0.00423878     0.00425332        2925.00        2915.00       0.410000
106     0.00422433     0.00423878        2935.00        2925.00       0.380000
107     0.00420999     0.00422433        2945.00        2935.00       0.360000
108     0.00419574     0.00420999        2955.00        2945.00       0.330000
109     0.00418159     0.00419574        2965.00        2955.00       0.300000
110     0.00416754     0.00418159        2975.00        2965.00       0.280000
111     0.00415357     0.00416754        2985.00        2975.00       0.270000
112     0.00413971     0.00415357        2995.00        2985.00       0.250000
113     0.00412593     0.00413971        3005.00        2995.00       0.220000
114     0.00411225     0.00412593        3015.00        3005.00       0.210000
115     0.00409865     0.00411225        3025.00        3015.00       0.200000
116     0.00408515     0.00409865        3035.00        3025.00       0.190000
117     0.00407173     0.00408515        3045.00        3035.00       0.180000
118     0.00405840     0.00407173        3055.00        3045.00       0.170000
119     0.00404516     0.00405840        3065.00        3055.00       0.160000
120     0.00403201     0.00404516        3075.00        3065.00       0.150000
121     0.00401894     0.00403201        3085.00        3075.00       0.130000
122     0.00400595     0.00401894        3095.00        3085.00       0.120000
123     0.00399305     0.00400595        3105.00        3095.00       0.120000
