
          ENERG_LO       ENERG_HI       WAVE_MIN       WAVE_MAX       SPECRESP
               keV            keV       angstrom       angstrom          cm**2
  1     0.00772488     0.00777331        1605.00        1595.00      0.0584127
  2     0.00767704     0.00772488        1615.00        1605.00       0.145744
  3     0.00762980     0.00767704        1625.00        1615.00       0.236898
  4     0.00758313     0.00762980        1635.00        1625.00       0.362919
  5     0.00753704     0.00758313        1645.00        1635.00       0.494085
  6     0.00749150     0.00753704        1655.00        1645.00       0.618375
  7     0.00744650     0.00749150        1665.00        1655.00       0.748354
  8     0.00740205     0.00744650        1675.00        1665.00       0.830923
  9     0.00735812     0.00740205        1685.00        1675.00       0.924802
 10     0.00731470     0.00735812        1695.00        1685.00       0.986441
 11     0.00727180     0.00731470        1705.00        1695.00        1.04996
 12     0.00722940     0.00727180        1715.00        1705.00        1.07059
 13     0.00718749     0.00722940        1725.00        1715.00        1.09581
 14     0.00714607     0.00718749        1735.00        1725.00        1.17642
 15     0.00710511     0.00714607        1745.00        1735.00        1.26481
 16     0.00706463     0.00710511        1755.00        1745.00        1.33045
 17     0.00702460     0.00706463        1765.00        1755.00        1.40307
 18     0.00698503     0.00702460        1775.00        1765.00        1.44985
 19     0.00694590     0.00698503        1785.00        1775.00        1.49721
 20     0.00690720     0.00694590        1795.00        1785.00        1.55229
 21     0.00686893     0.00690720        1805.00        1795.00        1.60247
 22     0.00683109     0.00686893        1815.00        1805.00        1.65719
 23     0.00679366     0.00683109        1825.00        1815.00        1.71808
 24     0.00675663     0.00679366        1835.00        1825.00        1.77413
 25     0.00672001     0.00675663        1845.00        1835.00        1.83644
 26     0.00668379     0.00672001        1855.00        1845.00        1.90511
 27     0.00664795     0.00668379        1865.00        1855.00        1.98480
 28     0.00661249     0.00664795        1875.00        1865.00        2.06000
 29     0.00657741     0.00661249        1885.00        1875.00        2.14793
 30     0.00654270     0.00657741        1895.00        1885.00        2.33325
 31     0.00650836     0.00654270        1905.00        1895.00        2.41874
 32     0.00647437     0.00650836        1915.00        1905.00        2.45409
 33     0.00644074     0.00647437        1925.00        1915.00        2.53733
 34     0.00640746     0.00644074        1935.00        1925.00        2.59532
 35     0.00637451     0.00640746        1945.00        1935.00        2.68256
 36     0.00634190     0.00637451        1955.00        1945.00        2.75645
 37     0.00630963     0.00634190        1965.00        1955.00        2.86140
 38     0.00627768     0.00630963        1975.00        1965.00        2.97183
 39     0.00624606     0.00627768        1985.00        1975.00        3.09978
 40     0.00621475     0.00624606        1995.00        1985.00        3.20475
 41     0.00618375     0.00621475        2005.00        1995.00        3.33337
 42     0.00615306     0.00618375        2015.00        2005.00        3.43277
 43     0.00612268     0.00615306        2025.00        2015.00        3.52923
 44     0.00609259     0.00612268        2035.00        2025.00        3.64626
 45     0.00606280     0.00609259        2045.00        2035.00        3.77066
 46     0.00603330     0.00606280        2055.00        2045.00        3.88581
 47     0.00600408     0.00603330        2065.00        2055.00        4.03152
 48     0.00597514     0.00600408        2075.00        2065.00        4.17320
 49     0.00594649     0.00597514        2085.00        2075.00        4.33303
 50     0.00591810     0.00594649        2095.00        2085.00        4.50482
 51     0.00588999     0.00591810        2105.00        2095.00        4.68821
 52     0.00586214     0.00588999        2115.00        2105.00        4.94241
 53     0.00583455     0.00586214        2125.00        2115.00        5.20200
 54     0.00580723     0.00583455        2135.00        2125.00        5.49962
 55     0.00578015     0.00580723        2145.00        2135.00        5.79806
 56     0.00575333     0.00578015        2155.00        2145.00        6.12943
 57     0.00572676     0.00575333        2165.00        2155.00        6.48853
 58     0.00570042     0.00572676        2175.00        2165.00        6.88098
 59     0.00567434     0.00570042        2185.00        2175.00        7.27457
 60     0.00564848     0.00567434        2195.00        2185.00        7.66881
 61     0.00562287     0.00564848        2205.00        2195.00        8.11890
 62     0.00559748     0.00562287        2215.00        2205.00        8.46839
 63     0.00557233     0.00559748        2225.00        2215.00        8.82639
 64     0.00554739     0.00557233        2235.00        2225.00        9.20790
 65     0.00552268     0.00554739        2245.00        2235.00        9.58660
 66     0.00549819     0.00552268        2255.00        2245.00        10.1321
 67     0.00547392     0.00549819        2265.00        2255.00        10.7058
 68     0.00544986     0.00547392        2275.00        2265.00        11.2927
 69     0.00542601     0.00544986        2285.00        2275.00        11.9084
 70     0.00540236     0.00542601        2295.00        2285.00        12.5376
 71     0.00537893     0.00540236        2305.00        2295.00        13.1657
 72     0.00535569     0.00537893        2315.00        2305.00        13.8065
 73     0.00533266     0.00535569        2325.00        2315.00        14.4782
 74     0.00530982     0.00533266        2335.00        2325.00        15.1348
 75     0.00528718     0.00530982        2345.00        2335.00        15.7308
 76     0.00526472     0.00528718        2355.00        2345.00        16.4647
 77     0.00524246     0.00526472        2365.00        2355.00        17.2121
 78     0.00522039     0.00524246        2375.00        2365.00        17.9359
 79     0.00519850     0.00522039        2385.00        2375.00        18.6352
 80     0.00517680     0.00519850        2395.00        2385.00        19.2971
 81     0.00515527     0.00517680        2405.00        2395.00        19.9539
 82     0.00513392     0.00515527        2415.00        2405.00        20.5443
 83     0.00511275     0.00513392        2425.00        2415.00        21.1107
 84     0.00509176     0.00511275        2435.00        2425.00        21.6353
 85     0.00507093     0.00509176        2445.00        2435.00        22.1227
 86     0.00505028     0.00507093        2455.00        2445.00        22.3342
 87     0.00502979     0.00505028        2465.00        2455.00        22.5005
 88     0.00500946     0.00502979        2475.00        2465.00        22.6045
 89     0.00498931     0.00500946        2485.00        2475.00        22.6857
 90     0.00496931     0.00498931        2495.00        2485.00        22.7327
 91     0.00494947     0.00496931        2505.00        2495.00        22.7341
 92     0.00492979     0.00494947        2515.00        2505.00        22.7242
 93     0.00491027     0.00492979        2525.00        2515.00        22.6799
 94     0.00489090     0.00491027        2535.00        2525.00        22.6234
 95     0.00487168     0.00489090        2545.00        2535.00        22.5154
 96     0.00485261     0.00487168        2555.00        2545.00        22.6014
 97     0.00483369     0.00485261        2565.00        2555.00        22.6401
 98     0.00481492     0.00483369        2575.00        2565.00        22.6760
 99     0.00479630     0.00481492        2585.00        2575.00        22.6917
100     0.00477781     0.00479630        2595.00        2585.00        22.6989
101     0.00475947     0.00477781        2605.00        2595.00        22.6791
102     0.00474127     0.00475947        2615.00        2605.00        22.6474
103     0.00472321     0.00474127        2625.00        2615.00        22.5938
104     0.00470529     0.00472321        2635.00        2625.00        22.5301
105     0.00468750     0.00470529        2645.00        2635.00        22.4438
106     0.00466984     0.00468750        2655.00        2645.00        22.2797
107     0.00465232     0.00466984        2665.00        2655.00        22.0889
108     0.00463493     0.00465232        2675.00        2665.00        21.8836
109     0.00461766     0.00463493        2685.00        2675.00        21.7117
110     0.00460053     0.00461766        2695.00        2685.00        21.4769
111     0.00458352     0.00460053        2705.00        2695.00        21.2457
112     0.00456664     0.00458352        2715.00        2705.00        21.0107
113     0.00454988     0.00456664        2725.00        2715.00        20.7613
114     0.00453325     0.00454988        2735.00        2725.00        20.4976
115     0.00451673     0.00453325        2745.00        2735.00        20.2264
116     0.00450034     0.00451673        2755.00        2745.00        19.8746
117     0.00448406     0.00450034        2765.00        2755.00        19.4805
118     0.00446790     0.00448406        2775.00        2765.00        19.1344
119     0.00445186     0.00446790        2785.00        2775.00        18.7465
120     0.00443593     0.00445186        2795.00        2785.00        18.3522
121     0.00442012     0.00443593        2805.00        2795.00        17.9584
122     0.00440441     0.00442012        2815.00        2805.00        17.5474
123     0.00438882     0.00440441        2825.00        2815.00        17.1251
124     0.00437334     0.00438882        2835.00        2825.00        16.7094
125     0.00435797     0.00437334        2845.00        2835.00        16.2711
126     0.00434271     0.00435797        2855.00        2845.00        15.8395
127     0.00432755     0.00434271        2865.00        2855.00        15.4028
128     0.00431250     0.00432755        2875.00        2865.00        14.9612
129     0.00429755     0.00431250        2885.00        2875.00        14.5497
130     0.00428270     0.00429755        2895.00        2885.00        14.1107
131     0.00426796     0.00428270        2905.00        2895.00        13.6670
132     0.00425332     0.00426796        2915.00        2905.00        13.2255
133     0.00423878     0.00425332        2925.00        2915.00        12.7910
134     0.00422434     0.00423878        2935.00        2925.00        12.3635
135     0.00420999     0.00422434        2945.00        2935.00        11.9252
136     0.00419575     0.00420999        2955.00        2945.00        11.5005
137     0.00418159     0.00419575        2965.00        2955.00        11.0825
138     0.00416754     0.00418159        2975.00        2965.00        10.6828
139     0.00415358     0.00416754        2985.00        2975.00        10.2900
140     0.00413971     0.00415358        2995.00        2985.00        9.89834
141     0.00412593     0.00413971        3005.00        2995.00        9.52494
142     0.00411225     0.00412593        3015.00        3005.00        9.17371
143     0.00409865     0.00411225        3025.00        3015.00        8.81758
144     0.00408515     0.00409865        3035.00        3025.00        8.46801
145     0.00407173     0.00408515        3045.00        3035.00        8.14676
146     0.00405840     0.00407173        3055.00        3045.00        7.71815
147     0.00404516     0.00405840        3065.00        3055.00        7.30432
148     0.00403201     0.00404516        3075.00        3065.00        6.91582
149     0.00401894     0.00403201        3085.00        3075.00        6.55184
150     0.00400595     0.00401894        3095.00        3085.00        6.20718
151     0.00399305     0.00400595        3105.00        3095.00        5.87027
152     0.00398023     0.00399305        3115.00        3105.00        5.55720
153     0.00396750     0.00398023        3125.00        3115.00        5.27161
154     0.00395484     0.00396750        3135.00        3125.00        4.97326
155     0.00394227     0.00395484        3145.00        3135.00        4.70062
156     0.00392977     0.00394227        3155.00        3145.00        4.54754
157     0.00391735     0.00392977        3165.00        3155.00        4.40209
158     0.00390502     0.00391735        3175.00        3165.00        4.25950
159     0.00389275     0.00390502        3185.00        3175.00        4.11992
160     0.00388057     0.00389275        3195.00        3185.00        3.99428
161     0.00386846     0.00388057        3205.00        3195.00        3.77747
162     0.00385643     0.00386846        3215.00        3205.00        3.66549
163     0.00384447     0.00385643        3225.00        3215.00        3.55181
