r (AU),total_fragment_number
5.0000000000000000000000000e-1,5.8654333053770329723633505e31
5.0045004500450041007297841e-1,5.8736742190198850944223005e31
5.0090009000900093116825929e-1,5.8819191715677261613440352e31
5.0135013501350134124123770e-1,5.8901681612541029862455466e31
5.0180018001800175131421611e-1,5.8984211863149258713282707e31
5.0225022502250227240949698e-1,5.9066782449884478913198017e31
5.0270027002700268248247539e-1,5.9149393355152396733159787e31
5.0315031503150320357775627e-1,5.9232044561382479435760415e31
5.0360036003600361365073468e-1,5.9314736051027297749680708e31
5.0405040504050402372371309e-1,5.9397467806562615941682432e31
5.0450045004500454481899396e-1,5.9480239810487607989390425e31
5.0495049504950495489197237e-1,5.9563052045324452257326134e31
5.0540054005400536496495079e-1,5.9645904493618367525704633e31
5.0585058505850588606023166e-1,5.9728797137937757105622698e31
5.0630063006300629613321007e-1,5.9811729960874028695073715e31
5.0675067506750670620618848e-1,5.9894702945041549342951405e31
5.0720072007200722730146936e-1,5.9977716073077447290666218e31
5.0765076507650763737444777e-1,6.0060769327641828144927451e31
5.0810081008100804744742618e-1,6.0143862691417585726558891e31
5.0855085508550856854270705e-1,6.0226996147110348027303297e31
5.0900090009000897861568546e-1,6.0310169677448315080235805e31
5.0945094509450949971096634e-1,6.0393383265182709319726669e31
5.0990099009900990978394475e-1,6.0476636893086856847117280e31
5.1035103510351031985692316e-1,6.0559930543957034107450107e31
5.1080108010801084095220403e-1,6.0643264200611756320727574e31
5.1125112511251125102518245e-1,6.0726637845892299899468838e31
5.1170117011701166109816086e-1,6.0810051462661954851171641e31
5.1215121512151218219344173e-1,6.0893505033806601239064616e31
5.1260126012601259226642014e-1,6.0976998542234574074118465e31
5.1305130513051300233939855e-1,6.1060531970876086854293656e31
5.1350135013501352343467943e-1,6.1144105302683817032491981e31
5.1395139513951393350765784e-1,6.1227718520632563742984876e31
5.1440144014401445460293871e-1,6.1311371607719220779815656e31
5.1485148514851486467591712e-1,6.1395064546962812625596537e31
5.1530153015301527474889554e-1,6.1478797321404224235530988e31
5.1575157515751579584417641e-1,6.1562569914106426217395105e31
5.1620162016201620591715482e-1,6.1646382308154204615559967e31
5.1665166516651661599013323e-1,6.1730234486654494177364059e31
5.1710171017101713708541411e-1,6.1814126432735774870763209e31
5.1755175517551754715839252e-1,6.1898058129548450186699282e31
5.1800180018001795723137093e-1,6.1982029560264603944720307e31
5.1845184518451847832665180e-1,6.2066040708077982278581964e31
5.1890189018901888839963021e-1,6.2150091556204029665044603e31
5.1935193519351929847260863e-1,6.2234182087879807859079955e31
5.1980198019801981956788950e-1,6.2318312286363743692291993e31
5.2025202520252022964086791e-1,6.2402482134936016382484894e31
5.2070207020702075073614878e-1,6.2486691616898197245692840e31
5.2115211521152116080912720e-1,6.2570940715573087566593442e31
5.2160216021602157088210561e-1,6.2655229414304970800086865e31
5.2205220522052209197738648e-1,6.2739557696459684628889871e31
5.2250225022502250205036489e-1,6.2823925545423891380396181e31
5.2295229522952291212334330e-1,6.2908332944605816617015370e31
5.2340234023402343321862418e-1,6.2992779877434762747413103e31
5.2385238523852384329160259e-1,6.3077266327361009947319338e31
5.2430243024302425336458100e-1,6.3161792277856284533889572e31
5.2475247524752477445986187e-1,6.3246357712413074418561479e31
