,OBS_ID,DATE_OBS,DATE_END,FILTER,PA_PNT,RA_OBJ,DEC_OBJ,EXPOSURE,MID_TIME,EXTENSION,FITS_FILENAME,HELIO,HELIO_V,OBS_DIS,PHASE,RA,DEC,PX,PY
0,00034023002,2015-09-01T12:04:21.000,2015-09-01T12:07:41.000,V,285.00974178628,232.55883,-60.15966,196.622276120891,2015-09-01T12:06:01.000,1,sw00034023002uvv_sk.img.gz,1.557499094432,-23.1835871,1.20918233521855,40.3797,232.56782,-60.16574,641.9947506904817,646.9609416586696
1,00034023002,2015-09-01T12:07:43.000,2015-09-01T12:10:56.000,V,285.00974178628,232.55883,-60.15966,189.954899215741,2015-09-01T12:09:19.500,2,sw00034023002uvv_sk.img.gz,1.557468334268,-23.1835595,1.20920688842177,40.381,232.56422,-60.16339,649.8760620381645,657.726432320459
2,00033931003,2015-08-11T18:47:20.000,2015-08-11T18:52:44.000,UGRISM,189.98850013164,304.50225,-73.22952,183.6881694,2015-08-11T18:50:02.000,1,sw00033931003ugu_sk.img.gz,1.834966970747,-23.0981082,1.09165826893808,28.1784,304.49622,-73.22973,1410.9448138516868,831.2437609586705
3,00033935002,2015-08-12T02:39:20.000,2015-08-12T02:42:39.000,V,191.976457052446,302.75909,-73.35988,196.611390559878,2015-08-12T02:40:59.500,1,sw00033935002uvv_sk.img.gz,1.830603444642,-23.1031869,1.0910089221649,28.3853,302.77955,-73.35932,682.8161826661818,748.5984780416886
4,00033935002,2015-08-12T02:42:42.000,2015-08-12T02:45:56.000,V,191.976457052446,302.75909,-73.35988,191.029912368751,2015-08-12T02:44:19.000,2,sw00033935002uvv_sk.img.gz,1.830572634416,-23.1032224,1.09100415514005,28.3865,302.76678,-73.35967,695.3843492984645,747.896626908246
5,00033824002,2015-06-20T00:38:20.000,2015-06-20T00:45:57.000,UGRISM,64.0009544352259,359.32168,-31.04261,449.960493123894,2015-06-20T00:42:08.500,1,sw00033824002ugu_sk.img.gz,2.520213408186,-21.7811761,2.12321360942462,23.3296,359.33126,-31.14106,513.3349821879048,683.665744677154
6,00033554002,2014-12-19T00:27:21.000,2014-12-19T00:30:41.000,V,251.980536817409,335.71223,-25.13946,196.633063242772,2014-12-19T00:29:01.000,1,sw00033554002uvv_sk.img.gz,4.591795722575,-17.8198961,4.96576258699186,10.9394,335.65058,-25.20627,723.5188195719727,364.60747413434524
7,00033554002,2014-12-19T00:30:44.000,2014-12-19T00:33:58.000,V,251.980536817409,335.71223,-25.13946,190.736710830631,2014-12-19T00:32:21.000,2,sw00033554002uvv_sk.img.gz,4.591771899378,-17.8199322,4.96577196991756,10.9393,335.65051,-25.20624,726.8889557811409,365.9112948627115
8,00034423001,2016-03-14T05:11:19.000,2016-03-14T05:14:39.000,UVW1,255.000124139155,63.067594,53.58249,196.622217045679,2016-03-14T05:12:59.000,1,sw00034423001uw1_sk.img.gz,2.14578487053,22.5831195,2.09043216504443,27.1119,63.02394,53.5552,670.5245008624879,477.09550883690264
9,00034423001,2016-03-14T05:14:43.000,2016-03-14T05:18:03.000,UVW1,255.000124139155,63.067594,53.58249,196.6330828954,2016-03-14T05:16:23.000,2,sw00034423001uw1_sk.img.gz,2.145815660574,22.5830583,2.09050540274906,27.1117,63.02389,53.55434,669.1513497802117,474.18423013237833
10,00034423001,2016-03-14T05:18:06.000,2016-03-14T05:21:25.000,UVW1,255.000124139155,63.067594,53.58249,196.622236698307,2016-03-14T05:19:45.500,3,sw00034423001uw1_sk.img.gz,2.145846224067,22.5829976,2.09057904074637,27.1115,63.02392,53.55346,669.0030175038738,469.77251270295903
11,00034423001,2016-03-14T05:21:28.000,2016-03-14T05:24:48.000,UVW1,255.000124139155,63.067594,53.58249,196.622236756971,2016-03-14T05:23:08.000,4,sw00034423001uw1_sk.img.gz,2.145876787414,22.5829369,2.09065352903789,27.1113,63.02403,53.55256,668.8350545172244,467.1390167046282
12,00034423001,2016-03-14T05:24:51.000,2016-03-14T05:27:57.000,UVW1,255.000124139155,63.067594,53.58249,182.516497758919,2016-03-14T05:26:24.000,5,sw00034423001uw1_sk.img.gz,2.145906369585,22.5828781,2.09072631733778,27.1112,63.02424,53.55167,669.0723065994173,464.55619228482726
13,00034472001,2016-04-10T12:22:04.000,2016-04-10T12:23:56.000,U,233.080028949733,67.83235,48.73124,110.597974528508,2016-04-10T12:23:00.000,1,sw00034472001uuu_sk.img.gz,2.495945245378,21.8342755,2.88820945664637,19.7795,67.83112,48.732,489.23739779254817,385.6867108813438
14,00033824003,2015-06-20T00:46:20.000,2015-06-20T00:53:57.000,UGRISM,64.0000608066099,359.32168,-31.04261,450.134248749606,2015-06-20T00:50:08.500,1,sw00033824003ugu_sk.img.gz,2.520143508547,-21.7813316,2.12304473509783,23.3293,359.33075,-31.14305,510.19387881907875,691.0426356257076
15,00033554003,2014-12-19T00:34:21.000,2014-12-19T00:37:41.000,UVW1,251.999390602568,335.71223,-25.13946,196.633082954064,2014-12-19T00:36:01.000,1,sw00033554003uw1_sk.img.gz,4.591745693951,-17.8199718,4.96578471977794,10.9392,335.65042,-25.2062,735.5147928259976,335.23217646328703
